feature_set,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
no_salary_hike_no_attrition_no_department,sigmoid,3,4,0.30000000000000004,0.4,2,0.3608129564749338,0.0,0.3608129564749338
no_salary_hike_no_attrition_no_department,sigmoid,3,5,0.4,0.5,1,0.46901563435981375,0.0,0.46901563435981375
no_salary_hike_no_attrition_no_department,sigmoid,3,6,0.5,0.6000000000000001,1,0.5198320750759843,1.0,0.4801679249240157
no_salary_hike_no_attrition_no_department,sigmoid,3,7,0.6000000000000001,0.7000000000000001,2,0.6506957576436033,1.0,0.3493042423563967
no_salary_hike_no_attrition_no_department,sigmoid,3,8,0.7000000000000001,0.8,7,0.7720892556282578,1.0,0.2279107443717422
no_salary_hike_no_attrition_no_department,sigmoid,3,9,0.8,0.9,68,0.8694809231092598,0.8382352941176471,0.03124562899161276
no_salary_hike_no_attrition_no_department,sigmoid,3,10,0.9,1.0,20,0.909730113816341,0.9,0.009730113816340924
no_salary_hike_no_attrition_no_department,sigmoid,4,1,0.0,0.1,47,0.0789466184578745,0.0425531914893617,0.0363934269685128
no_salary_hike_no_attrition_no_department,sigmoid,4,2,0.1,0.2,69,0.12929115931009433,0.15942028985507245,0.030129130544978122
no_salary_hike_no_attrition_no_department,sigmoid,4,3,0.2,0.30000000000000004,4,0.21738565964075326,0.0,0.21738565964075326
no_salary_hike_no_attrition_no_department,isotonic,2,1,0.0,0.1,95,0.0007155642579946697,0.0,0.0007155642579946697
no_salary_hike_no_attrition_no_department,isotonic,2,3,0.2,0.30000000000000004,2,0.21330239347266763,0.0,0.21330239347266763
no_salary_hike_no_attrition_no_department,isotonic,2,5,0.4,0.5,2,0.47058212846522185,0.5,0.02941787153477815
no_salary_hike_no_attrition_no_department,isotonic,2,7,0.6000000000000001,0.7000000000000001,5,0.650051527300961,1.0,0.34994847269903895
no_salary_hike_no_attrition_no_department,isotonic,2,8,0.7000000000000001,0.8,1,0.7169314014180624,1.0,0.28306859858193756
no_salary_hike_no_attrition_no_department,isotonic,2,9,0.8,0.9,1,0.874439451178387,1.0,0.12556054882161305
no_salary_hike_no_attrition_no_department,isotonic,2,10,0.9,1.0,14,0.956521724962193,0.8571428571428571,0.09937886781933591
no_salary_hike_no_attrition_no_department,isotonic,3,1,0.0,0.1,15,9.743679587413628e-09,0.13333333333333333,0.13333332358965375
no_salary_hike_no_attrition_no_department,isotonic,3,3,0.2,0.30000000000000004,4,0.28586378371549304,0.0,0.28586378371549304
no_salary_hike_no_attrition_no_department,isotonic,3,4,0.30000000000000004,0.4,2,0.3181818151446281,0.0,0.3181818151446281
no_salary_hike_no_attrition_no_department,isotonic,3,5,0.4,0.5,1,0.436128459943107,0.0,0.436128459943107
no_salary_hike_no_attrition_no_department,isotonic,3,6,0.5,0.6000000000000001,1,0.5481554023231626,1.0,0.4518445976768374
no_salary_hike_no_attrition_no_department,isotonic,3,7,0.6000000000000001,0.7000000000000001,1,0.6974029995979233,1.0,0.3025970004020767
no_salary_hike_no_attrition_no_department,isotonic,3,8,0.7000000000000001,0.8,2,0.7426302686939202,1.0,0.25736973130607976
no_salary_hike_no_attrition_no_department,isotonic,3,9,0.8,0.9,86,0.8697416605321087,0.8604651162790697,0.00927654425303892
no_salary_hike_no_attrition_no_department,isotonic,3,10,0.9,1.0,8,0.9308873379280391,0.875,0.05588733792803913
no_salary_hike_no_attrition_no_department,isotonic,4,1,0.0,0.1,32,0.04945428864081923,0.03125,0.01820428864081923
no_salary_hike_no_attrition_no_department,isotonic,4,2,0.1,0.2,87,0.13020433174222035,0.13793103448275862,0.0077267027405382716
no_salary_hike_no_attrition_no_department,isotonic,4,3,0.2,0.30000000000000004,1,0.22935779521925767,0.0,0.22935779521925767
no_salary_hike_no_attrition_no_department,raw,2,1,0.0,0.1,97,0.005077431802975373,0.020618556701030927,0.015541124898055553
no_salary_hike_no_attrition_no_department,raw,2,2,0.1,0.2,4,0.17079000627343785,0.25,0.07920999372656215
no_salary_hike_no_attrition_no_department,raw,2,3,0.2,0.30000000000000004,1,0.2711340744624425,0.0,0.2711340744624425
no_salary_hike_no_attrition_no_department,raw,2,5,0.4,0.5,1,0.4653164321674568,1.0,0.5346835678325432
no_salary_hike_no_attrition_no_department,raw,2,6,0.5,0.6000000000000001,1,0.5258197286318937,1.0,0.47418027136810625
no_salary_hike_no_attrition_no_department,raw,2,7,0.6000000000000001,0.7000000000000001,2,0.6508906755012449,1.0,0.3491093244987551
no_salary_hike_no_attrition_no_department,raw,2,8,0.7000000000000001,0.8,2,0.7865292720628483,0.5,0.2865292720628483
no_salary_hike_no_attrition_no_department,raw,2,9,0.8,0.9,9,0.8556959597839603,1.0,0.1443040402160397
no_salary_hike_no_attrition_no_department,raw,2,10,0.9,1.0,3,0.9515014218204265,1.0,0.04849857817957348
no_salary_hike_no_attrition_no_department,raw,3,1,0.0,0.1,3,0.03793758274049789,0.0,0.03793758274049789
no_salary_hike_no_attrition_no_department,raw,3,2,0.1,0.2,11,0.1340529824691842,0.09090909090909091,0.043143891560093295
no_salary_hike_no_attrition_no_department,raw,3,3,0.2,0.30000000000000004,1,0.2191612753147077,0.0,0.2191612753147077
no_salary_hike_no_attrition_no_department,raw,3,4,0.30000000000000004,0.4,1,0.3611991318024905,0.0,0.3611991318024905
no_salary_hike_no_attrition_no_department,raw,3,5,0.4,0.5,4,0.4552103157568125,0.5,0.04478968424318752
no_salary_hike_no_attrition_no_department,raw,3,6,0.5,0.6000000000000001,2,0.5735629176570669,1.0,0.4264370823429331
no_salary_hike_no_attrition_no_department,raw,3,7,0.6000000000000001,0.7000000000000001,6,0.6651699489166017,0.8333333333333334,0.16816338441673162
no_salary_hike_no_attrition_no_department,raw,3,8,0.7000000000000001,0.8,9,0.7527755792325447,0.7777777777777778,0.025002198545233112
