run_id,config_hash,dataset_key,task_type,task_comparison_group,role,policy,feature_set,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa,ordinal_mae,nll_log_loss,ece_confidence,binary_brier,roc_auc,average_precision,multiclass_brier
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,1,147,0.8367346938775511,0.600609756097561,0.6201550387596899,0.8133206771080524,0.6833333333333333,0.8068027210884354,0.600609756097561,0.8367346938775511,,,,,0.4274682441605489,0.08785304642885497,0.12406330042485052,0.7381436314363143,0.44932523378005057,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,2,147,0.8367346938775511,0.5670731707317074,0.5791984732824427,0.8009035675338837,0.6780575539568345,0.7979738658053149,0.5670731707317074,0.8367346938775511,,,,,0.37176852564853585,0.06639274752245117,0.10426392124462645,0.7953929539295391,0.5552919160479745,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,3,147,0.8639455782312925,0.6504065040650406,0.6834625322997416,0.8444338975900437,0.7740740740740741,0.8464096749811036,0.6504065040650406,0.8639455782312925,,,,,0.3757221510850721,0.06820012318301202,0.11034383217627547,0.8167344173441735,0.5390028883123487,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,4,147,0.8707482993197279,0.671239837398374,0.7062782626984963,0.8543012956576047,0.7901836969001148,0.8561001897888891,0.671239837398374,0.8707482993197279,,,,,0.33068590504931117,0.06827874013612562,0.09667017282774072,0.8282520325203252,0.6268215719874086,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,5,147,0.8775510204081632,0.625,0.6659090909090909,0.8449907235621522,0.9361702127659575,0.8931828050369085,0.625,0.8775510204081632,,,,,0.31963040405048343,0.04039334668521787,0.09448801439727673,0.8573848238482384,0.6563981489420808,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,6,147,0.8775510204081632,0.6585365853658537,0.7006787330316742,0.8556376396712531,0.8416058394160584,0.8696260986146284,0.6585365853658537,0.8775510204081632,,,,,0.352752198029547,0.07098571705965355,0.10241639333017892,0.8123306233062331,0.5817821226484137,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,7,147,0.8775510204081632,0.6920731707317074,0.728001644736842,0.8638308941997852,0.8045112781954887,0.8652754334816634,0.6920731707317074,0.8775510204081632,,,,,0.28704030483151044,0.025143253436313788,0.08797185930046025,0.888550135501355,0.6664205206732816,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,8,147,0.8707482993197279,0.6223702664796634,0.6574267140929719,0.8431636115748887,0.8138489208633093,0.8577179073068076,0.6223702664796634,0.8707482993197279,,,,,0.37454610530120425,0.06456000281348771,0.10329610322869542,0.7759467040673212,0.5409288305864179,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,9,147,0.8775510204081632,0.6618162692847125,0.7006787330316742,0.858768122633669,0.8084893048128342,0.86429117101386,0.6618162692847125,0.8775510204081632,,,,,0.33581901135552256,0.039702899474909986,0.09659746106740233,0.8190743338008416,0.5787203429984983,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_including,department_including,xgboost,10,147,0.8571428571428571,0.6143057503506312,0.6415882967607105,0.8325620739413843,0.737956204379562,0.8327424400417102,0.6143057503506312,0.8571428571428571,,,,,0.43114179999128033,0.06432495090842957,0.11339869091383928,0.7300140252454418,0.467472995436212,
