run_id,config_hash,scientific_input_hash,source_tree_hash,record_type,source_path,fold_contract_hash,xgboost_model_set_sha256,dataset_sha256,calibration_protocol_sha256,method,primary_method,class_label,bin,bin_low,bin_high,n_samples,n_positive,bin_status,mean_predicted_probability,observed_frequency,observed_frequency_ci_low,observed_frequency_ci_high,absolute_gap,selection_source,selection_performed,outer_test_used_for_selection,n_folds,point_estimate_unit,confidence_interval_method,fold_variability_status,accuracy_oof,accuracy_ci_low,accuracy_ci_high,accuracy_bootstrap_std,accuracy_fold_mean,accuracy_fold_std,accuracy_fold_min,accuracy_fold_max,balanced_accuracy_oof,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_bootstrap_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,balanced_accuracy_fold_min,balanced_accuracy_fold_max,macro_f1_oof,macro_f1_ci_low,macro_f1_ci_high,macro_f1_bootstrap_std,macro_f1_fold_mean,macro_f1_fold_std,macro_f1_fold_min,macro_f1_fold_max,quadratic_weighted_kappa_oof,quadratic_weighted_kappa_ci_low,quadratic_weighted_kappa_ci_high,quadratic_weighted_kappa_bootstrap_std,quadratic_weighted_kappa_fold_mean,quadratic_weighted_kappa_fold_std,quadratic_weighted_kappa_fold_min,quadratic_weighted_kappa_fold_max,ordinal_mae_oof,ordinal_mae_ci_low,ordinal_mae_ci_high,ordinal_mae_bootstrap_std,ordinal_mae_fold_mean,ordinal_mae_fold_std,ordinal_mae_fold_min,ordinal_mae_fold_max,severe_error_rate_oof,severe_error_rate_ci_low,severe_error_rate_ci_high,severe_error_rate_bootstrap_std,severe_error_rate_fold_mean,severe_error_rate_fold_std,severe_error_rate_fold_min,severe_error_rate_fold_max,nll_log_loss_oof,nll_log_loss_ci_low,nll_log_loss_ci_high,nll_log_loss_bootstrap_std,nll_log_loss_fold_mean,nll_log_loss_fold_std,nll_log_loss_fold_min,nll_log_loss_fold_max,multiclass_brier_oof,multiclass_brier_ci_low,multiclass_brier_ci_high,multiclass_brier_bootstrap_std,multiclass_brier_fold_mean,multiclass_brier_fold_std,multiclass_brier_fold_min,multiclass_brier_fold_max,ece_confidence_oof,ece_confidence_ci_low,ece_confidence_ci_high,ece_confidence_bootstrap_std,ece_confidence_fold_mean,ece_confidence_fold_std,ece_confidence_fold_min,ece_confidence_fold_max,system_id,task_type,metric,point_estimate,ci_low,ci_high,bootstrap_std,n_resamples,n_valid,confidence_level,strata,seed,resample_hash,better_direction,domain_low,domain_high,comparison_id,system_a,system_b,estimate_a,estimate_b,raw_difference_a_minus_b,raw_difference_ci_low,raw_difference_ci_high,improvement_oriented_difference,improvement_ci_low,improvement_ci_high,primary_metric,primary_gate_comparison,gate_eligible,gate_triggered,method_order,class_order,n_bins,panel_metric_order,caption_warning
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,1.0,0.0,0.1,179.0,24.0,observed,0.0399523161889878,0.1340782122905028,0.0917824913876391,0.1917498056912915,0.0941258961015149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,2.0,0.1,0.2,29.0,6.0,observed,0.1376631969361817,0.2068965517241379,0.0984607019784103,0.383900904038679,0.0692333547879562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,3.0,0.2,0.3,34.0,26.0,observed,0.2526842457334542,0.7647058823529411,0.6000386207746361,0.8756301446736042,0.512021636619487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,4.0,0.3,0.4,45.0,38.0,observed,0.3546004997189499,0.8444444444444444,0.7121609112760374,0.9225457651524174,0.4898439447254945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,5.0,0.4,0.5,90.0,76.0,observed,0.4516418937055484,0.8444444444444444,0.7556715472270163,0.905017244050892,0.392802550738896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,6.0,0.5,0.6000000000000001,125.0,103.0,observed,0.5552844169247657,0.824,0.7478772900602502,0.8808023348167542,0.2687155830752342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,7.0,0.6000000000000001,0.7000000000000001,147.0,121.0,observed,0.6480865678997216,0.8231292517006803,0.7534560867727113,0.876344239627784,0.1750426838009586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,8.0,0.7000000000000001,0.8,194.0,170.0,observed,0.7506425094080481,0.8762886597938144,0.8225247825866759,0.9154398526838384,0.1256461503857663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,9.0,0.8,0.9,193.0,170.0,observed,0.8491323531166919,0.8808290155440415,0.8275301532244085,0.9192637431462974,0.0316966624273495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,reliability_bin,sigmoid_calibration/calibration_bins.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,2c9293055f64114c63c8f85e652d94e838c84501a718eea6c3852de78ce4808b,raw,False,3.0,10.0,0.9,1.0,164.0,140.0,observed,0.942511272515126,0.8536585365853658,0.7914832967850948,0.899645109837749,0.08885273592976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
