method,reliability_scope,target_id,bin,bin_low,bin_high,n_samples,n_positive,bin_status,mean_predicted_probability,observed_frequency,absolute_gap
raw,one_vs_rest_class,class_4,10,0.9,1.0,0,0,empty,,,
raw,top_label,argmax_correct,1,0.0,0.1,0,0,empty,,,
raw,top_label,argmax_correct,2,0.1,0.2,0,0,empty,,,
raw,top_label,argmax_correct,3,0.2,0.30000000000000004,0,0,empty,,,
raw,top_label,argmax_correct,4,0.30000000000000004,0.4,0,0,empty,,,
raw,top_label,argmax_correct,5,0.4,0.5,13,7,observed,0.475471645860111,0.5384615384615384,0.06298989260142746
raw,top_label,argmax_correct,6,0.5,0.6000000000000001,208,115,observed,0.5528032657966802,0.5528846153846154,8.134958793526437e-05
raw,top_label,argmax_correct,7,0.6000000000000001,0.7000000000000001,197,132,observed,0.6486118184019557,0.6700507614213198,0.02143894301936411
raw,top_label,argmax_correct,8,0.7000000000000001,0.8,225,178,observed,0.750081327047914,0.7911111111111111,0.04102978406319713
raw,top_label,argmax_correct,9,0.8,0.9,226,194,observed,0.8502682923086534,0.8584070796460177,0.008138787337364284
raw,top_label,argmax_correct,10,0.9,1.0,331,285,observed,0.9484013889795846,0.8610271903323263,0.08737419864725826
sigmoid,cumulative_threshold,Y_le_2,1,0.0,0.1,934,9,observed,0.00866075782263496,0.009635974304068522,0.0009752164814335624
sigmoid,cumulative_threshold,Y_le_2,2,0.1,0.2,30,2,observed,0.14602981087719366,0.06666666666666667,0.079363144210527
sigmoid,cumulative_threshold,Y_le_2,3,0.2,0.30000000000000004,17,4,observed,0.23828507561497947,0.23529411764705882,0.002990957967920649
sigmoid,cumulative_threshold,Y_le_2,4,0.30000000000000004,0.4,5,1,observed,0.3446749872856384,0.2,0.14467498728563838
sigmoid,cumulative_threshold,Y_le_2,5,0.4,0.5,15,9,observed,0.46034380717594725,0.6,0.13965619282405273
sigmoid,cumulative_threshold,Y_le_2,6,0.5,0.6000000000000001,16,11,observed,0.5670290976554968,0.6875,0.1204709023445032
sigmoid,cumulative_threshold,Y_le_2,7,0.6000000000000001,0.7000000000000001,34,28,observed,0.6548270237887632,0.8235294117647058,0.1687023879759426
sigmoid,cumulative_threshold,Y_le_2,8,0.7000000000000001,0.8,105,91,observed,0.7542129924231816,0.8666666666666667,0.11245367424348507
sigmoid,cumulative_threshold,Y_le_2,9,0.8,0.9,44,39,observed,0.8341233455692023,0.8863636363636364,0.05224029079443404
sigmoid,cumulative_threshold,Y_le_2,10,0.9,1.0,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,1,0.0,0.1,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,2,0.1,0.2,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,3,0.2,0.30000000000000004,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,4,0.30000000000000004,0.4,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,5,0.4,0.5,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,6,0.5,0.6000000000000001,0,0,empty,,,
sigmoid,cumulative_threshold,Y_le_3,7,0.6000000000000001,0.7000000000000001,18,15,observed,0.6760394280228342,0.8333333333333334,0.15729390531049914
sigmoid,cumulative_threshold,Y_le_3,8,0.7000000000000001,0.8,102,85,observed,0.7733591556402752,0.8333333333333334,0.05997417769305813
sigmoid,cumulative_threshold,Y_le_3,9,0.8,0.9,608,519,observed,0.857607306118644,0.8536184210526315,0.003988885066012471
sigmoid,cumulative_threshold,Y_le_3,10,0.9,1.0,472,449,observed,0.9408866237973721,0.951271186440678,0.010384562643305895
sigmoid,one_vs_rest_class,class_2,1,0.0,0.1,934,9,observed,0.00866075782263496,0.009635974304068522,0.0009752164814335624
sigmoid,one_vs_rest_class,class_2,2,0.1,0.2,30,2,observed,0.14602981087719366,0.06666666666666667,0.079363144210527
sigmoid,one_vs_rest_class,class_2,3,0.2,0.30000000000000004,17,4,observed,0.23828507561497947,0.23529411764705882,0.002990957967920649
sigmoid,one_vs_rest_class,class_2,4,0.30000000000000004,0.4,5,1,observed,0.3446749872856384,0.2,0.14467498728563838
sigmoid,one_vs_rest_class,class_2,5,0.4,0.5,15,9,observed,0.46034380717594725,0.6,0.13965619282405273
sigmoid,one_vs_rest_class,class_2,6,0.5,0.6000000000000001,16,11,observed,0.5670290976554968,0.6875,0.1204709023445032
sigmoid,one_vs_rest_class,class_2,7,0.6000000000000001,0.7000000000000001,34,28,observed,0.6548270237887632,0.8235294117647058,0.1687023879759426
sigmoid,one_vs_rest_class,class_2,8,0.7000000000000001,0.8,105,91,observed,0.7542129924231816,0.8666666666666667,0.11245367424348507
sigmoid,one_vs_rest_class,class_2,9,0.8,0.9,44,39,observed,0.8341233455692023,0.8863636363636364,0.05224029079443404
sigmoid,one_vs_rest_class,class_2,10,0.9,1.0,0,0,empty,,,
sigmoid,one_vs_rest_class,class_3,1,0.0,0.1,3,0,observed,0.09620111947825631,0.0,0.09620111947825631
sigmoid,one_vs_rest_class,class_3,2,0.1,0.2,86,10,observed,0.16218027918259845,0.11627906976744186,0.04590120941515659
sigmoid,one_vs_rest_class,class_3,3,0.2,0.30000000000000004,77,10,observed,0.24132954039157387,0.12987012987012986,0.11145941052144401
sigmoid,one_vs_rest_class,class_3,4,0.30000000000000004,0.4,32,8,observed,0.3445525361546484,0.25,0.09455253615464843
sigmoid,one_vs_rest_class,class_3,5,0.4,0.5,15,5,observed,0.4628952905934439,0.3333333333333333,0.1295619572601106
sigmoid,one_vs_rest_class,class_3,6,0.5,0.6000000000000001,6,4,observed,0.5497843777479116,0.6666666666666666,0.11688228891875507
sigmoid,one_vs_rest_class,class_3,7,0.6000000000000001,0.7000000000000001,29,25,observed,0.6715294697053454,0.8620689655172413,0.1905394958118959
sigmoid,one_vs_rest_class,class_3,8,0.7000000000000001,0.8,155,127,observed,0.7690658038307631,0.8193548387096774,0.05028903487891434
sigmoid,one_vs_rest_class,class_3,9,0.8,0.9,639,550,observed,0.8549965520202533,0.8607198748043818,0.0057233227841285705
sigmoid,one_vs_rest_class,class_3,10,0.9,1.0,158,135,observed,0.9182697859016333,0.8544303797468354,0.06383940615479788
sigmoid,one_vs_rest_class,class_4,1,0.0,0.1,472,23,observed,0.059113376202627965,0.048728813559322036,0.01038456264330593
sigmoid,one_vs_rest_class,class_4,2,0.1,0.2,608,89,observed,0.14239269388135592,0.14638157894736842,0.003988885066012499
sigmoid,one_vs_rest_class,class_4,3,0.2,0.30000000000000004,102,17,observed,0.2266408443597244,0.16666666666666666,0.05997417769305774
sigmoid,one_vs_rest_class,class_4,4,0.30000000000000004,0.4,18,3,observed,0.32396057197716566,0.16666666666666666,0.157293905310499
sigmoid,one_vs_rest_class,class_4,5,0.4,0.5,0,0,empty,,,
sigmoid,one_vs_rest_class,class_4,6,0.5,0.6000000000000001,0,0,empty,,,
sigmoid,one_vs_rest_class,class_4,7,0.6000000000000001,0.7000000000000001,0,0,empty,,,
sigmoid,one_vs_rest_class,class_4,8,0.7000000000000001,0.8,0,0,empty,,,
sigmoid,one_vs_rest_class,class_4,9,0.8,0.9,0,0,empty,,,
sigmoid,one_vs_rest_class,class_4,10,0.9,1.0,0,0,empty,,,
sigmoid,top_label,argmax_correct,1,0.0,0.1,0,0,empty,,,
sigmoid,top_label,argmax_correct,2,0.1,0.2,0,0,empty,,,
sigmoid,top_label,argmax_correct,3,0.2,0.30000000000000004,0,0,empty,,,
sigmoid,top_label,argmax_correct,4,0.30000000000000004,0.4,0,0,empty,,,
sigmoid,top_label,argmax_correct,5,0.4,0.5,14,6,observed,0.48467726092917035,0.42857142857142855,0.0561058323577418
sigmoid,top_label,argmax_correct,6,0.5,0.6000000000000001,22,15,observed,0.5623259922261552,0.6818181818181818,0.11949218959202657
sigmoid,top_label,argmax_correct,7,0.6000000000000001,0.7000000000000001,63,53,observed,0.6625154512741741,0.8412698412698413,0.17875438999566717
sigmoid,top_label,argmax_correct,8,0.7000000000000001,0.8,260,218,observed,0.763067553070009,0.8384615384615385,0.07539398539152953
sigmoid,top_label,argmax_correct,9,0.8,0.9,683,589,observed,0.853651865221064,0.862371888726208,0.008720023505144003
sigmoid,top_label,argmax_correct,10,0.9,1.0,158,135,observed,0.9182697859016333,0.8544303797468354,0.06383940615479788
