dataset_key,schema_stage,column_position,column_name,pandas_dtype,source_column,transformation,missing_count,schema_sha256
inx_primary,cleaned,26,YearsWithCurrManager,int64,YearsWithCurrManager,verified_and_string_values_trimmed_where_applicable,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,cleaned,27,Attrition,str,Attrition,verified_and_string_values_trimmed_where_applicable,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,cleaned,28,PerformanceRating,int64,PerformanceRating,verified_and_string_values_trimmed_where_applicable,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
hrdataset_v14,cleaned,1,Employee_Name,str,Employee_Name,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,2,EmpNumber,int64,EmpID,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,3,MarriedID,int64,MarriedID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,4,MaritalStatusID,int64,MaritalStatusID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,5,GenderID,int64,GenderID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,6,EmpStatusID,int64,EmpStatusID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,7,DeptID,int64,DeptID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,8,PerfScoreID,int64,PerfScoreID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,9,FromDiversityJobFairID,int64,FromDiversityJobFairID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,10,Salary,int64,Salary,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,11,Termd,int64,Termd,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,12,PositionID,int64,PositionID,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,13,EmpJobRole,str,Position,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,14,State,str,State,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,15,Zip,int64,Zip,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,16,DOB,str,DOB,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,17,Gender,str,Sex,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,18,MaritalStatus,str,MaritalDesc,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,19,CitizenDesc,str,CitizenDesc,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
