dataset_key,schema_stage,column_position,column_name,pandas_dtype,source_column,transformation,missing_count,schema_sha256
hrdataset_v14,raw,2,EmpID,int64,EmpID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,3,MarriedID,int64,MarriedID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,4,MaritalStatusID,int64,MaritalStatusID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,5,GenderID,int64,GenderID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,6,EmpStatusID,int64,EmpStatusID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,7,DeptID,int64,DeptID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,8,PerfScoreID,int64,PerfScoreID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,9,FromDiversityJobFairID,int64,FromDiversityJobFairID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,10,Salary,int64,Salary,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,11,Termd,int64,Termd,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,12,PositionID,int64,PositionID,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,13,Position,str,Position,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,14,State,str,State,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,15,Zip,int64,Zip,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,16,DOB,str,DOB,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,17,Sex,str,Sex,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,18,MaritalDesc,str,MaritalDesc,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,19,CitizenDesc,str,CitizenDesc,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,20,HispanicLatino,str,HispanicLatino,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
