dataset_key,column_position,column_name,row_count,nonmissing_count,effective_missing_count,categorical_cardinality,mode_count_nonmissing,mode_share_nonmissing,is_constant_nonmissing,is_near_constant_nonmissing
inx_primary,1,EmpNumber,1200,1200,0,1200.0,1,0.0008333333333333334,False,False
inx_primary,3,Gender,1200,1200,0,2.0,725,0.6041666666666666,False,False
inx_primary,4,EducationBackground,1200,1200,0,6.0,492,0.41,False,False
inx_primary,5,MaritalStatus,1200,1200,0,3.0,548,0.45666666666666667,False,False
inx_primary,6,EmpDepartment,1200,1200,0,6.0,373,0.31083333333333335,False,False
inx_primary,7,EmpJobRole,1200,1200,0,19.0,270,0.225,False,False
inx_primary,8,BusinessTravelFrequency,1200,1200,0,3.0,846,0.705,False,False
inx_primary,17,OverTime,1200,1200,0,2.0,847,0.7058333333333333,False,False
inx_primary,27,Attrition,1200,1200,0,2.0,1022,0.8516666666666667,False,False
hrdataset_v14,1,Employee_Name,311,311,0,311.0,1,0.003215434083601286,False,False
hrdataset_v14,13,Position,311,311,0,32.0,137,0.4405144694533762,False,False
hrdataset_v14,14,State,311,311,0,28.0,276,0.887459807073955,False,False
hrdataset_v14,16,DOB,311,311,0,307.0,2,0.006430868167202572,False,False
hrdataset_v14,17,Sex,311,311,0,2.0,176,0.5659163987138264,False,False
hrdataset_v14,18,MaritalDesc,311,311,0,5.0,137,0.4405144694533762,False,False
hrdataset_v14,19,CitizenDesc,311,311,0,3.0,295,0.9485530546623794,False,False
hrdataset_v14,20,HispanicLatino,311,311,0,4.0,282,0.9067524115755627,False,False
hrdataset_v14,21,RaceDesc,311,311,0,6.0,187,0.6012861736334405,False,False
hrdataset_v14,22,DateofHire,311,311,0,101.0,14,0.04501607717041801,False,False
hrdataset_v14,23,DateofTermination,311,104,207,96.0,2,0.019230769230769232,False,False
hrdataset_v14,24,TermReason,311,311,0,18.0,207,0.6655948553054662,False,False
hrdataset_v14,25,EmploymentStatus,311,311,0,3.0,207,0.6655948553054662,False,False
hrdataset_v14,26,Department,311,311,0,6.0,209,0.6720257234726688,False,False
hrdataset_v14,27,ManagerName,311,311,0,21.0,22,0.0707395498392283,False,False
hrdataset_v14,29,RecruitmentSource,311,311,0,9.0,87,0.2797427652733119,False,False
hrdataset_v14,30,PerformanceScore,311,311,0,4.0,243,0.7813504823151125,False,False
hrdataset_v14,34,LastPerformanceReview_Date,311,311,0,137.0,18,0.05787781350482315,False,False
