formulation_id,system,metric,canonical_v2_10x5_point_estimate,repeated_5x5_mean,repeated_5x5_sample_sd,repeated_5x5_minimum,repeated_5x5_maximum,ten_fold_inside_repeated_range,signed_repeated_mean_minus_ten_fold,interpretation
primary_three_class,xgboost_raw,macro_f1,0.6663550491771351,0.6530863072598907,0.008308619524316304,0.6383597443432608,0.6584979482775074,False,-0.013268741917244364,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_raw,quadratic_weighted_kappa,0.5412202848782376,0.5339468057464363,0.017622863225939766,0.5132124113801675,0.5541044289773468,True,-0.007273479131801319,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_raw,ordinal_mae,0.19614147909967847,0.19163987138263666,0.01648987962052487,0.17684887459807075,0.21864951768488747,True,-0.004501607717041806,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_raw,nll_log_loss,0.5362531943763237,0.5592768888480449,0.03594282340765381,0.5134985248842133,0.6047860891910946,True,0.023023694471721257,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_raw,multiclass_brier,0.3013077312903303,0.3033441436424763,0.020619770421474785,0.28106268208033497,0.3353724671328022,True,0.002036412352146022,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_raw,ece_confidence,0.0643817491707141,0.07212657463332602,0.010777135754627472,0.05443075888911455,0.08376804740465452,True,0.007744825462611918,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_raw,ranked_probability_score,0.07523536339747215,0.07589268279822428,0.004874493674376563,0.0706348645795986,0.08328396353701285,True,0.0006573194007521294,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,macro_f1,0.6252508666301769,0.627382962179569,0.0032474372391959588,0.6245620449075343,0.6310573819363062,True,0.002132095549392088,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,quadratic_weighted_kappa,0.604878668530047,0.6043709651015794,0.004350570187534772,0.5988106849573671,0.6107634543178974,True,-0.0005077034284676207,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,ordinal_mae,0.12861736334405144,0.12797427652733118,0.0026902251657044195,0.12540192926045016,0.13183279742765272,True,-0.0006430868167202619,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,nll_log_loss,0.4223933137924039,0.42158033685439955,0.0058403481687828735,0.4142980992018377,0.42885349729787303,True,-0.0008129769380043617,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,multiclass_brier,0.23522595436931715,0.2323918031515893,0.002079799280364895,0.22949961163109697,0.23457232933986252,False,-0.0028341512177278427,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,ece_confidence,0.06350036807121504,0.05217107351668321,0.01627248850827463,0.03648412959938689,0.07587345590024708,True,-0.011329294554531827,descriptive_cv_design_sensitivity_not_equivalence_test
primary_three_class,xgboost_sigmoid,ranked_probability_score,0.05949988879854,0.05888508440256625,0.0005292645955972285,0.0582412554774476,0.05942551678354199,False,-0.0006148043959737504,descriptive_cv_design_sensitivity_not_equivalence_test
