formulation_id,repetition,metric,comparison,xgboost_raw_value,baseline_value,signed_arithmetic_difference,better_direction,inference
primary_three_class,2,ordinal_mae,xgboost_raw_minus_ordinal_median_baseline,0.17684887459807075,0.21864951768488747,-0.04180064308681672,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,2,quadratic_weighted_kappa,xgboost_raw_minus_majority_baseline,0.5541044289773468,0.0,0.5541044289773468,higher,descriptive_matched_repetition_no_confidence_interval
primary_three_class,2,quadratic_weighted_kappa,xgboost_raw_minus_stratified_baseline,0.5541044289773468,-0.04887896636899103,0.6029833953463378,higher,descriptive_matched_repetition_no_confidence_interval
primary_three_class,2,quadratic_weighted_kappa,xgboost_raw_minus_ordinal_median_baseline,0.5541044289773468,0.0,0.5541044289773468,higher,descriptive_matched_repetition_no_confidence_interval
primary_three_class,2,ranked_probability_score,xgboost_raw_minus_majority_baseline,0.0706348645795986,0.10932475884244373,-0.03868989426284514,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,2,ranked_probability_score,xgboost_raw_minus_stratified_baseline,0.0706348645795986,0.19935691318327975,-0.12872204860368114,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,2,ranked_probability_score,xgboost_raw_minus_ordinal_median_baseline,0.0706348645795986,0.10932475884244373,-0.03868989426284514,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,3,ece_confidence,xgboost_raw_minus_majority_baseline,0.07270276922787855,0.2186495176848875,-0.14594674845700895,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,3,ece_confidence,xgboost_raw_minus_stratified_baseline,0.07270276922787855,0.36334405144694537,-0.2906412822190668,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,3,ece_confidence,xgboost_raw_minus_ordinal_median_baseline,0.07270276922787855,0.2186495176848875,-0.14594674845700895,lower,descriptive_matched_repetition_no_confidence_interval
primary_three_class,3,macro_f1,xgboost_raw_minus_majority_baseline,0.6383597443432608,0.2924187725631769,0.34594097178008393,higher,descriptive_matched_repetition_no_confidence_interval
primary_three_class,3,macro_f1,xgboost_raw_minus_stratified_baseline,0.6383597443432608,0.31076280919965266,0.32759693514360816,higher,descriptive_matched_repetition_no_confidence_interval
primary_three_class,3,macro_f1,xgboost_raw_minus_ordinal_median_baseline,0.6383597443432608,0.2924187725631769,0.34594097178008393,higher,descriptive_matched_repetition_no_confidence_interval
