run_id,config_hash,dataset_key,task_type,task_comparison_group,role,policy,feature_set,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa,ordinal_mae,nll_log_loss,ece_confidence,average_precision,roc_auc,binary_brier,multiclass_brier
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,2,147,0.8435374149659864,0.496,0.4575645756457565,0.7781710470165927,0.4246575342465753,0.7222066908955362,0.496,0.8435374149659864,,,,,0.4948117531240257,0.09129139172520387,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,3,147,0.8503401360544217,0.5,0.45955882352941174,0.78156262505002,0.42517006802721086,0.7230783469850525,0.5,0.8503401360544217,,,,,0.4367961547727343,0.05509536034082058,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,4,147,0.8367346938775511,0.492,0.45555555555555555,0.7747543461829176,0.4241379310344828,0.7213230119634061,0.492,0.8367346938775511,,,,,0.5177855100207048,0.11590690769704926,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,5,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.46051926532345744,0.08894534886595573,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,6,147,0.8503401360544217,0.5217391304347826,0.5009259259259259,0.7878432854623332,0.9246575342465753,0.8728916224023856,0.5217391304347826,0.8503401360544217,,,,,0.4728243931574927,0.08127973408656353,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,7,147,0.8367346938775511,0.4959677419354839,0.45555555555555555,0.7685563114134543,0.4212328767123288,0.7106513838412077,0.4959677419354839,0.8367346938775511,,,,,0.5047552440553613,0.09914947324710568,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,8,147,0.8367346938775511,0.4959677419354839,0.45555555555555555,0.7685563114134543,0.4212328767123288,0.7106513838412077,0.4959677419354839,0.8367346938775511,,,,,0.5261597749733338,0.10006564248857874,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,9,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.5119713876237603,0.10217618009539123,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_free,department_free,xgboost,10,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.49992710753542646,0.0958331979503051,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,1,147,0.8571428571428571,0.5227272727272727,0.5047328734156907,0.7974605211890629,0.928082191780822,0.8776908023483365,0.5227272727272727,0.8571428571428571,,,,,0.45944558806404634,0.06903421153541638,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,2,147,0.8435374149659864,0.496,0.4575645756457565,0.7781710470165927,0.4246575342465753,0.7222066908955362,0.496,0.8435374149659864,,,,,0.49803557922543695,0.1100922553934154,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,3,147,0.8435374149659864,0.496,0.4575645756457565,0.7781710470165927,0.4246575342465753,0.7222066908955362,0.496,0.8435374149659864,,,,,0.4500076239081339,0.04902633022361312,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,4,147,0.8503401360544217,0.5,0.45955882352941174,0.78156262505002,0.42517006802721086,0.7230783469850525,0.5,0.8503401360544217,,,,,0.46973386895894753,0.08318029280994312,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,5,147,0.8367346938775511,0.4959677419354839,0.45555555555555555,0.7685563114134543,0.4212328767123288,0.7106513838412077,0.4959677419354839,0.8367346938775511,,,,,0.45773295820532317,0.07408970581558644,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,6,147,0.8503401360544217,0.5217391304347826,0.5009259259259259,0.7878432854623332,0.9246575342465753,0.8728916224023856,0.5217391304347826,0.8503401360544217,,,,,0.46651479647550226,0.07178964814154037,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,7,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.4557979774341137,0.05045334478938258,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,8,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.5015458212033419,0.09970835456083002,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,9,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.515988620221982,0.08682695475632195,,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_performance,restricted_target_performance_robustness,restricted_target_performance_robustness,restricted-target performance robustness,department_job_role_free,department_job_role_free,xgboost,10,147,0.8435374149659864,0.5,0.4575645756457565,0.7719456786404599,0.4217687074829932,0.7115553704474987,0.5,0.8435374149659864,,,,,0.4946388888227129,0.0941587592790443,,,,
