feature_set,model,fold,n_features,removed_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition_no_department_no_job_role,catboost,1,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.5875199362041467,0.5458601458601459,0.7627970827970827,0.5102345734349321,0.7225160615568506,0.5875199362041467,0.8083333333333333,0.19166666666666668,0.5635673624288424,1.0,0.0,0.49552410355790316,0.2919472621514975,0.04289794083748483
no_salary_hike_no_attrition_no_department_no_job_role,lightgbm,1,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.6231290639185375,0.6000330150476397,0.7810670308639109,0.6128642667913354,0.7670513869409381,0.6231290639185375,0.8083333333333333,0.19166666666666668,0.5971978984238179,1.0,0.0,0.7283599157701358,0.31999968144863955,0.13387869053401263
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,1,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8166666666666667,0.5913078149920254,0.5540694116618585,0.7701722178512108,0.5213358070500927,0.7287569573283859,0.5913078149920254,0.8166666666666667,0.18333333333333332,0.5752895752895753,1.0,0.0,0.5132253574433557,0.28843552741861134,0.0639385928710302
no_salary_hike_no_attrition_no_department_no_job_role,catboost,2,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8,0.597488038277512,0.5412291412291412,0.7562596662596662,0.4980905619203491,0.7198376977632297,0.597488038277512,0.8,0.2,0.5667870036101084,1.0,0.0,0.5564217314889712,0.32439426611067135,0.05950779824791383
no_salary_hike_no_attrition_no_department_no_job_role,lightgbm,2,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.7916666666666666,0.5799441786283891,0.5358580082179015,0.7509806413351972,0.4994152046783626,0.7153801169590643,0.5799441786283891,0.7916666666666666,0.20833333333333334,0.5429616087751372,1.0,0.0,0.9267040169089384,0.3772782738285401,0.16978069764812204
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,2,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.775,0.5723684210526315,0.5260338188514985,0.7390925832914783,0.48931899641577065,0.7085017921146953,0.5723684210526315,0.775,0.225,0.5238095238095238,1.0,0.0,0.5749316647388506,0.3352409385529969,0.09342859635750453
no_salary_hike_no_attrition_no_department_no_job_role,catboost,3,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8166666666666667,0.6050637958532695,0.5570441523424334,0.7708459723626558,0.5173611111111112,0.7309027777777778,0.6050637958532695,0.8166666666666667,0.18333333333333332,0.5895522388059702,1.0,0.0,0.5081620201013021,0.2975550046392945,0.07713649985356977
no_salary_hike_no_attrition_no_department_no_job_role,lightgbm,3,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8166666666666667,0.5913078149920254,0.5540694116618585,0.7701722178512108,0.5213358070500927,0.7287569573283859,0.5913078149920254,0.8166666666666667,0.18333333333333332,0.5752895752895753,1.0,0.0,0.8381190296082385,0.3471884679828243,0.16169794830647918
no_salary_hike_no_attrition_no_department_no_job_role,xgboost,3,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.8,0.583732057416268,0.537917087967644,0.7555106167846309,0.5,0.7166666666666668,0.583732057416268,0.8,0.2,0.5522388059701493,1.0,0.0,0.5573828136082419,0.3187048810236698,0.10275342141588528
no_salary_hike_no_attrition_no_department_no_job_role,catboost,4,19,"Age, EmpDepartment, EmpJobRole, EmpLastSalaryHikePercent, Attrition",0.775,0.5586124401913876,0.5114257327372081,0.7330911574764033,0.47368421052631576,0.6971052631578948,0.5586124401913876,0.775,0.225,0.5045871559633026,1.0,0.0,0.521031083134618,0.31060198434405295,0.04674951562068821
