feature_set,model,attribute,metric,class_label,point_estimate,ci_low,ci_high,bootstrap_std,n_boot_valid,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,min_group_support_threshold
no_salary_hike_no_attrition,xgboost,EducationBackground,positive_prediction_rate,2.0,0.19486839194868394,0.10380722360155656,0.2945634471065309,0.04788556365800531,500,5,Other,66,0.06060606060606061,Marketing,137,0.25547445255474455,30
no_salary_hike_no_attrition,xgboost,EducationBackground,positive_prediction_rate,4.0,0.0040650406504065045,0.0,0.010320460935503109,0.0026566176844509334,500,5,Marketing,137,0.0,Life Sciences,492,0.0040650406504065045,30
no_salary_hike_no_attrition,xgboost,EducationBackground,precision,4.0,0.5,0.0,1.0,0.3814773587577819,478,2,Medical,384,0.0,Life Sciences,492,0.5,30
no_salary_hike_no_attrition,xgboost,EducationBackground,precision,2.0,0.18333333333333335,0.10435674691817652,0.9112657563025209,0.17573907401004166,500,5,Other,66,0.75,Medical,384,0.9333333333333333,30
no_salary_hike_no_attrition,xgboost,EducationBackground,precision,3.0,0.05782848151062159,0.03347399365657792,0.1766490217099973,0.03796494988520378,500,5,Technical Degree,100,0.8292682926829268,Other,66,0.8870967741935484,30
no_salary_hike_no_attrition,xgboost,EducationBackground,true_positive_rate,2.0,0.11538461538461542,0.08381024096385546,0.2941176470588235,0.05204658434905681,500,5,Life Sciences,492,0.8846153846153846,Other,66,1.0,30
no_salary_hike_no_attrition,xgboost,EducationBackground,true_positive_rate,3.0,0.04603619292799266,0.019854265225258117,0.12136080430472954,0.027812208815010127,500,5,Marketing,137,0.9361702127659575,Medical,384,0.9822064056939501,30
no_salary_hike_no_attrition,xgboost,EducationBackground,true_positive_rate,4.0,0.017543859649122806,0.0,0.05555555555555555,0.017710092561362526,500,5,Marketing,137,0.0,Life Sciences,492,0.017543859649122806,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,accuracy,,0.08734241619085314,0.039209109541518225,0.19584895285785422,0.040381130037867204,500,5,Development,361,0.8310249307479224,Finance,49,0.9183673469387755,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,false_positive_rate,3.0,0.7543859649122807,0.6241052932544991,0.9240779768177029,0.08135184886199094,500,5,Finance,49,0.21052631578947367,Development,361,0.9649122807017544,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,false_positive_rate,2.0,0.045454545454545456,0.026778395409600902,0.09365937473807709,0.01874023392381708,500,5,Finance,49,0.0,Sales,373,0.045454545454545456,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,false_positive_rate,4.0,0.006309148264984227,0.0,0.015699858046962795,0.004316896225511302,500,5,Finance,49,0.0,Development,361,0.006309148264984227,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,macro_f1,,0.27327331837966307,0.19441607742474593,0.35730536142460173,0.04538303378656035,500,5,Development,361,0.3725600149536703,Finance,49,0.6458333333333334,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,mean_predicted_probability,2.0,0.24317042377014514,0.17297546128348523,0.36157769677226187,0.04790272809950613,500,5,Development,361,0.038177135510762225,Finance,49,0.2813475592809074,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,mean_predicted_probability,3.0,0.23290703889900533,0.16419571189131282,0.3337429660814385,0.04536476216223414,500,5,Finance,49,0.6345827695438448,Development,361,0.8674898084428502,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,mean_predicted_probability,4.0,0.021925285618240836,0.016527481176924597,0.050025535217179735,0.008284137472655505,500,5,Sales,373,0.072407770592934,Development,361,0.09433305621117484,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,positive_prediction_rate,2.0,0.2895019503646334,0.21708939212221426,0.41679410883455836,0.051842583047940656,500,5,Development,361,0.01662049861495845,Finance,49,0.30612244897959184,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,positive_prediction_rate,3.0,0.28396178415964723,0.21233138988699984,0.41237773803494554,0.052005972071997746,500,5,Finance,49,0.6938775510204082,Development,361,0.9778393351800554,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,positive_prediction_rate,4.0,0.00554016620498615,0.0,0.014088921687655229,0.003484352423498129,500,5,Finance,49,0.0,Development,361,0.00554016620498615,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,precision,4.0,1.0,0.0,1.0,0.49629558495900283,478,2,Development,361,0.0,Research & Development,343,1.0,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,precision,2.0,0.6666666666666667,0.25,1.0,0.21473639394068952,500,5,Development,361,0.3333333333333333,Finance,49,1.0,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,precision,3.0,0.04144385026737962,0.03238737911105911,0.19752193371144977,0.04431589310768244,500,5,Human Resources,54,0.8409090909090909,Finance,49,0.8823529411764706,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,true_positive_rate,2.0,0.8461538461538461,0.625,1.0,0.10432113472567318,500,5,Development,361,0.15384615384615385,Finance,49,1.0,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,true_positive_rate,3.0,0.047808764940239,0.029647091151762627,0.10810810810810811,0.020669761101103544,500,5,Sales,373,0.952191235059761,Finance,49,1.0,30
no_salary_hike_no_attrition,xgboost,EmpDepartment,true_positive_rate,4.0,0.024390243902439025,0.0,0.08108108108108109,0.024598743597637543,500,5,Development,361,0.0,Research & Development,343,0.024390243902439025,30
no_salary_hike_no_attrition,xgboost,Gender,accuracy,,0.02533575317604353,0.0013008601122198595,0.06553869061360171,0.017661810758440154,500,2,Male,725,0.8441379310344828,Female,475,0.8694736842105263,30
no_salary_hike_no_attrition,xgboost,Gender,false_positive_rate,2.0,0.01635313531353135,0.0017044941422973295,0.033336607742379794,0.008715527320282917,500,2,Female,475,0.015,Male,725,0.03135313531353135,30
no_salary_hike_no_attrition,xgboost,Gender,false_positive_rate,3.0,0.0155555555555556,0.0016176489056233703,0.1366285330063492,0.03654177375170188,500,2,Female,475,0.4444444444444444,Male,725,0.46,30
no_salary_hike_no_attrition,xgboost,Gender,false_positive_rate,4.0,0.003105590062111801,0.0,0.007758257499157398,0.0021218642769948943,500,2,Female,475,0.0,Male,725,0.003105590062111801,30
no_salary_hike_no_attrition,xgboost,Gender,macro_f1,,0.015239280497078456,0.0007279332196614281,0.046075317397979036,0.01254677105516495,500,2,Male,725,0.5976134119817823,Female,475,0.6128526924788608,30
no_salary_hike_no_attrition,xgboost,Gender,mean_predicted_probability,3.0,0.01814889410270637,0.0007746774279783375,0.051594387302991755,0.014467520945198532,500,2,Male,725,0.7458918629149939,Female,475,0.7640407570177002,30
no_salary_hike_no_attrition,xgboost,Gender,mean_predicted_probability,2.0,0.011799063891626216,0.0006186569400514348,0.05001544903684365,0.013644097066628062,500,2,Female,475,0.15368430072591813,Male,725,0.16548336461754434,30
no_salary_hike_no_attrition,xgboost,Gender,mean_predicted_probability,4.0,0.006349832897037333,0.00015303763877489059,0.01644650154377082,0.004617257301628051,500,2,Female,475,0.08227494078345202,Male,725,0.08862477368048935,30
no_salary_hike_no_attrition,xgboost,Gender,positive_prediction_rate,3.0,0.018656987295825767,0.0011895638589527334,0.061835765257241805,0.01657259142519359,500,2,Male,725,0.8234482758620689,Female,475,0.8421052631578947,30
no_salary_hike_no_attrition,xgboost,Gender,positive_prediction_rate,2.0,0.014519056261343033,0.0010352394996066931,0.057538411731957395,0.015486072218884785,500,2,Female,475,0.15789473684210525,Male,725,0.1724137931034483,30
