feature_set,model,attribute,group_value,n_samples,support_warning,class_label,accuracy,macro_f1,actual_class_support,predicted_class_support,positive_prediction_rate,true_positive_rate,false_positive_rate,precision,mean_predicted_probability
no_salary_hike_no_attrition,xgboost,Gender,Female,475,False,2,0.8694736842105263,0.6128526924788608,75,75,0.15789473684210525,0.92,0.015,0.92,0.15368430072591813
no_salary_hike_no_attrition,xgboost,Gender,Female,475,False,3,0.8694736842105263,0.6128526924788608,349,400,0.8421052631578947,0.9856733524355301,0.4444444444444444,0.86,0.7640407570177002
no_salary_hike_no_attrition,xgboost,Gender,Female,475,False,4,0.8694736842105263,0.6128526924788608,51,0,0.0,0.0,0.0,,0.08227494078345204
no_salary_hike_no_attrition,xgboost,Gender,Male,725,False,2,0.8441379310344828,0.5976134119817823,119,125,0.1724137931034483,0.8907563025210085,0.03135313531353135,0.848,0.16548336461754434
no_salary_hike_no_attrition,xgboost,Gender,Male,725,False,3,0.8441379310344828,0.5976134119817823,525,597,0.8234482758620689,0.9619047619047619,0.46,0.8458961474036851,0.7458918629149939
no_salary_hike_no_attrition,xgboost,Gender,Male,725,False,4,0.8441379310344828,0.5976134119817823,81,3,0.004137931034482759,0.012345679012345678,0.003105590062111801,0.3333333333333333,0.08862477368048938
no_salary_hike_no_attrition,xgboost,MaritalStatus,Divorced,268,False,2,0.8694029850746269,0.6019958780778826,37,33,0.12313432835820895,0.8378378378378378,0.008658008658008658,0.9393939393939394,0.12486208165234951
no_salary_hike_no_attrition,xgboost,MaritalStatus,Divorced,268,False,3,0.8694029850746269,0.6019958780778826,205,234,0.8731343283582089,0.9853658536585366,0.5079365079365079,0.8632478632478633,0.7813528535553991
no_salary_hike_no_attrition,xgboost,MaritalStatus,Divorced,268,False,4,0.8694029850746269,0.6019958780778826,26,1,0.0037313432835820895,0.0,0.004132231404958678,0.0,0.0937850622706977
no_salary_hike_no_attrition,xgboost,MaritalStatus,Married,548,False,2,0.8594890510948905,0.6093607776746703,100,106,0.19343065693430658,0.91,0.033482142857142856,0.8584905660377359,0.18436616184888832
no_salary_hike_no_attrition,xgboost,MaritalStatus,Married,548,False,3,0.8594890510948905,0.6093607776746703,393,441,0.8047445255474452,0.9643765903307888,0.4,0.8594104308390023,0.7339701706791691
no_salary_hike_no_attrition,xgboost,MaritalStatus,Married,548,False,4,0.8594890510948905,0.6093607776746703,55,1,0.0018248175182481751,0.01818181818181818,0.0,1.0,0.08166366891969883
no_salary_hike_no_attrition,xgboost,MaritalStatus,Single,384,False,2,0.8359375,0.5982087183266255,57,61,0.15885416666666666,0.9298245614035088,0.024464831804281346,0.8688524590163934,0.1522911135846622
no_salary_hike_no_attrition,xgboost,MaritalStatus,Single,384,False,3,0.8359375,0.5982087183266255,276,322,0.8385416666666666,0.9710144927536232,0.5,0.8322981366459627,0.7606060987285067
