feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition,xgboost,EmpDepartment,false_positive_rate,5,Finance,49,0.0,Sales,373,0.045454545454545456,0.045454545454545456,30,2.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,false_positive_rate,5,Finance,49,0.0,Development,361,0.006309148264984227,0.006309148264984227,30,4.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,macro_f1,5,Development,361,0.3725600149536703,Finance,49,0.6458333333333334,0.27327331837966307,30,
no_salary_hike_no_attrition,xgboost,EmpDepartment,mean_predicted_probability,5,Development,361,0.038177135510762274,Finance,49,0.2813475592809074,0.2431704237701451,30,2.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,mean_predicted_probability,5,Finance,49,0.6345827695438448,Development,361,0.8674898084428502,0.23290703889900533,30,3.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,mean_predicted_probability,5,Sales,373,0.07240777059293405,Development,361,0.09433305621117488,0.021925285618240836,30,4.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,positive_prediction_rate,5,Development,361,0.01662049861495845,Finance,49,0.30612244897959184,0.2895019503646334,30,2.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,positive_prediction_rate,5,Finance,49,0.6938775510204082,Development,361,0.9778393351800554,0.28396178415964723,30,3.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,positive_prediction_rate,5,Finance,49,0.0,Development,361,0.00554016620498615,0.00554016620498615,30,4.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,precision,2,Development,361,0.0,Research & Development,343,1.0,1.0,30,4.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,precision,5,Development,361,0.3333333333333333,Finance,49,1.0,0.6666666666666667,30,2.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,precision,5,Human Resources,54,0.8409090909090909,Finance,49,0.8823529411764706,0.04144385026737962,30,3.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,true_positive_rate,5,Development,361,0.15384615384615385,Finance,49,1.0,0.8461538461538461,30,2.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,true_positive_rate,5,Sales,373,0.952191235059761,Finance,49,1.0,0.047808764940239,30,3.0
no_salary_hike_no_attrition,xgboost,EmpDepartment,true_positive_rate,5,Development,361,0.0,Research & Development,343,0.024390243902439025,0.024390243902439025,30,4.0
no_salary_hike_no_attrition,xgboost,Gender,accuracy,2,Male,725,0.8441379310344828,Female,475,0.8694736842105263,0.02533575317604353,30,
no_salary_hike_no_attrition,xgboost,Gender,false_positive_rate,2,Female,475,0.015,Male,725,0.03135313531353135,0.01635313531353135,30,2.0
no_salary_hike_no_attrition,xgboost,Gender,false_positive_rate,2,Female,475,0.4444444444444444,Male,725,0.46,0.0155555555555556,30,3.0
