fold,accuracy,balanced_accuracy,macro_f1
1,0.3625,0.4006741326306544,0.2969890732729596
2,0.25833333333333336,0.3145702119231531,0.23943189621144725
3,0.2833333333333333,0.22744918972155073,0.2301683478350145
4,0.2625,0.2481854384028297,0.20924381398426153
5,0.2708333333333333,0.28357250531163575,0.23019690545908664
