policy_id,policy_name,n_features,metric,fixed_value,retuned_value,raw_difference_retuned_minus_fixed,better_direction,direction_aligned_improvement
P0,INFORMATION_RICH_DIAGNOSTIC,26,accuracy,0.925,0.9291666666666667,0.004166666666666652,higher,0.004166666666666652
P0,INFORMATION_RICH_DIAGNOSTIC,26,adjacent_accuracy,0.9975,0.9975,0.0,higher,0.0
P0,INFORMATION_RICH_DIAGNOSTIC,26,balanced_accuracy,0.8982051399364853,0.8867191102322858,-0.01148602970419954,higher,-0.01148602970419954
P0,INFORMATION_RICH_DIAGNOSTIC,26,ece_confidence,0.01852490407812057,0.021650899949219336,0.0031259958710987655,lower,-0.0031259958710987655
P0,INFORMATION_RICH_DIAGNOSTIC,26,macro_f1,0.8913552207839571,0.8942738716737378,0.002918650889780716,higher,0.002918650889780716
P0,INFORMATION_RICH_DIAGNOSTIC,26,macro_precision,0.8859349039034362,0.9043754567561445,0.018440552852708292,higher,0.018440552852708292
P0,INFORMATION_RICH_DIAGNOSTIC,26,macro_recall,0.8982051399364853,0.8867191102322858,-0.01148602970419954,higher,-0.01148602970419954
P0,INFORMATION_RICH_DIAGNOSTIC,26,multiclass_brier,0.11929362111659426,0.11749497584734082,-0.0017986452692534405,lower,0.0017986452692534405
P0,INFORMATION_RICH_DIAGNOSTIC,26,nll_log_loss,0.22238920521432373,0.23033130921747225,0.007942104003148515,lower,-0.007942104003148515
P0,INFORMATION_RICH_DIAGNOSTIC,26,ordinal_mae,0.0775,0.07333333333333333,-0.004166666666666666,lower,0.004166666666666666
P0,INFORMATION_RICH_DIAGNOSTIC,26,quadratic_weighted_kappa,0.8495935988656218,0.8528736591677448,0.0032800603021230224,higher,0.0032800603021230224
P0,INFORMATION_RICH_DIAGNOSTIC,26,ranked_probability_score,0.030473415494987475,0.030127457177688884,-0.00034595831729859056,lower,0.00034595831729859056
P0,INFORMATION_RICH_DIAGNOSTIC,26,two_level_reversal_rate,0.0025,0.0025,0.0,lower,-0.0
P0,INFORMATION_RICH_DIAGNOSTIC,26,weighted_f1,0.9256159139177026,0.9290481473047753,0.0034322333870726585,higher,0.0034322333870726585
P0,INFORMATION_RICH_DIAGNOSTIC,26,weighted_precision,0.9269845710736089,0.9298439877714005,0.0028594166977916613,higher,0.0028594166977916613
P0,INFORMATION_RICH_DIAGNOSTIC,26,weighted_recall,0.925,0.9291666666666667,0.004166666666666652,higher,0.004166666666666652
P1,LEAKAGE_CONTROLLED,24,accuracy,0.7708333333333334,0.7716666666666666,0.0008333333333332416,higher,0.0008333333333332416
P1,LEAKAGE_CONTROLLED,24,adjacent_accuracy,0.9983333333333333,0.9983333333333333,0.0,higher,0.0
P1,LEAKAGE_CONTROLLED,24,balanced_accuracy,0.6400478278264968,0.6519555769066255,0.011907749080128704,higher,0.011907749080128704
P1,LEAKAGE_CONTROLLED,24,ece_confidence,0.0455902970342998,0.0475024207282711,0.0019121236939712988,lower,-0.0019121236939712988
P1,LEAKAGE_CONTROLLED,24,macro_f1,0.6278873375943658,0.6395721454861203,0.011684807891754523,higher,0.011684807891754523
P1,LEAKAGE_CONTROLLED,24,macro_precision,0.6173416362960565,0.6291425126211455,0.011800876325088971,higher,0.011800876325088971
P1,LEAKAGE_CONTROLLED,24,macro_recall,0.6400478278264968,0.6519555769066255,0.011907749080128704,higher,0.011907749080128704
P1,LEAKAGE_CONTROLLED,24,multiclass_brier,0.33454409353682557,0.33602690179999783,0.0014828082631722639,lower,-0.0014828082631722639
P1,LEAKAGE_CONTROLLED,24,nll_log_loss,0.5441086871505009,0.5464961060285225,0.00238741887802163,lower,-0.00238741887802163
P1,LEAKAGE_CONTROLLED,24,ordinal_mae,0.23083333333333333,0.23,-0.0008333333333333248,lower,0.0008333333333333248
P1,LEAKAGE_CONTROLLED,24,quadratic_weighted_kappa,0.5813780260707635,0.5891978599164702,0.007819833845706725,higher,0.007819833845706725
P1,LEAKAGE_CONTROLLED,24,ranked_probability_score,0.08390544964231936,0.08420550995311969,0.0003000603108003347,lower,-0.0003000603108003347
P1,LEAKAGE_CONTROLLED,24,two_level_reversal_rate,0.0016666666666666668,0.0016666666666666668,0.0,lower,-0.0
P1,LEAKAGE_CONTROLLED,24,weighted_f1,0.7725324386297491,0.7762015270380889,0.0036690884083397934,higher,0.0036690884083397934
P1,LEAKAGE_CONTROLLED,24,weighted_precision,0.7752377627628998,0.7820187380855886,0.0067809753226888425,higher,0.0067809753226888425
P1,LEAKAGE_CONTROLLED,24,weighted_recall,0.7708333333333334,0.7716666666666666,0.0008333333333332416,higher,0.0008333333333332416
P2,GOVERNANCE_CONTROLLED,21,accuracy,0.7541666666666667,0.78,0.025833333333333375,higher,0.025833333333333375
P2,GOVERNANCE_CONTROLLED,21,adjacent_accuracy,0.9975,0.9983333333333333,0.0008333333333332416,higher,0.0008333333333332416
P2,GOVERNANCE_CONTROLLED,21,balanced_accuracy,0.6262657240741177,0.6437133132738124,0.01744758919969469,higher,0.01744758919969469
P2,GOVERNANCE_CONTROLLED,21,ece_confidence,0.04527740459779919,0.05046145954679944,0.005184054949000247,lower,-0.005184054949000247
P2,GOVERNANCE_CONTROLLED,21,macro_f1,0.6149849773365884,0.6335049086987997,0.018519931362211306,higher,0.018519931362211306
P2,GOVERNANCE_CONTROLLED,21,macro_precision,0.6057499014265676,0.624500877577885,0.018750976151317378,higher,0.018750976151317378
P2,GOVERNANCE_CONTROLLED,21,macro_recall,0.6262657240741177,0.6437133132738124,0.01744758919969469,higher,0.01744758919969469
P2,GOVERNANCE_CONTROLLED,21,multiclass_brier,0.3348576250422375,0.3315766382282647,-0.003280986813972764,lower,0.003280986813972764
P2,GOVERNANCE_CONTROLLED,21,nll_log_loss,0.5396320636037444,0.5455758837361859,0.005943820132441546,lower,-0.005943820132441546
P2,GOVERNANCE_CONTROLLED,21,ordinal_mae,0.24833333333333332,0.22166666666666668,-0.026666666666666644,lower,0.026666666666666644
P2,GOVERNANCE_CONTROLLED,21,quadratic_weighted_kappa,0.5568556185071087,0.589241161078318,0.03238554257120929,higher,0.03238554257120929
P2,GOVERNANCE_CONTROLLED,21,ranked_probability_score,0.0841371992456312,0.08324795020284376,-0.0008892490427874489,lower,0.0008892490427874489
P2,GOVERNANCE_CONTROLLED,21,two_level_reversal_rate,0.0025,0.0016666666666666668,-0.0008333333333333333,lower,0.0008333333333333333
P2,GOVERNANCE_CONTROLLED,21,weighted_f1,0.7601082232258038,0.7787571708144432,0.01864894758863933,higher,0.01864894758863933
P2,GOVERNANCE_CONTROLLED,21,weighted_precision,0.7674629056862328,0.7781566659353517,0.010693760249118944,higher,0.010693760249118944
P2,GOVERNANCE_CONTROLLED,21,weighted_recall,0.7541666666666667,0.78,0.025833333333333375,higher,0.025833333333333375
P3,PRIMARY_LEAKAGE_AWARE,20,accuracy,0.7591666666666667,0.7591666666666667,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,adjacent_accuracy,0.9975,0.9975,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,balanced_accuracy,0.6360452170862891,0.6360452170862891,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,ece_confidence,0.03754265683135832,0.03754265683135832,0.0,lower,-0.0
P3,PRIMARY_LEAKAGE_AWARE,20,macro_f1,0.6210211647446707,0.6210211647446707,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,macro_precision,0.6088778581249189,0.6088778581249189,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,macro_recall,0.6360452170862891,0.6360452170862891,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,multiclass_brier,0.34260632657334306,0.342606326573343,-5.551115123125783e-17,lower,5.551115123125783e-17
P3,PRIMARY_LEAKAGE_AWARE,20,nll_log_loss,0.5514626110693018,0.5514626110693017,-1.1102230246251565e-16,lower,1.1102230246251565e-16
P3,PRIMARY_LEAKAGE_AWARE,20,ordinal_mae,0.24333333333333335,0.24333333333333335,0.0,lower,-0.0
P3,PRIMARY_LEAKAGE_AWARE,20,quadratic_weighted_kappa,0.567602077831626,0.567602077831626,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,ranked_probability_score,0.08597383249482213,0.08597383249482211,-1.3877787807814457e-17,lower,1.3877787807814457e-17
P3,PRIMARY_LEAKAGE_AWARE,20,two_level_reversal_rate,0.0025,0.0025,0.0,lower,-0.0
P3,PRIMARY_LEAKAGE_AWARE,20,weighted_f1,0.7643838408010087,0.7643838408010087,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,weighted_precision,0.7715440036340437,0.7715440036340437,0.0,higher,0.0
P3,PRIMARY_LEAKAGE_AWARE,20,weighted_recall,0.7591666666666667,0.7591666666666667,0.0,higher,0.0
P4,STRICT_PROSPECTIVE,13,accuracy,0.555,0.555,0.0,higher,0.0
P4,STRICT_PROSPECTIVE,13,adjacent_accuracy,0.9616666666666667,0.9616666666666667,0.0,higher,0.0
P4,STRICT_PROSPECTIVE,13,balanced_accuracy,0.46047955075061164,0.48537415962927305,0.024894608878661406,higher,0.024894608878661406
P4,STRICT_PROSPECTIVE,13,ece_confidence,0.09869216127526405,0.09231847002856763,-0.006373691246696414,lower,0.006373691246696414
P4,STRICT_PROSPECTIVE,13,macro_f1,0.4116689138314451,0.4273477523897735,0.015678838558328412,higher,0.015678838558328412
P4,STRICT_PROSPECTIVE,13,macro_precision,0.40907477646354956,0.4258948005066017,0.016820024043052162,higher,0.016820024043052162
P4,STRICT_PROSPECTIVE,13,macro_recall,0.46047955075061164,0.48537415962927305,0.024894608878661406,higher,0.024894608878661406
P4,STRICT_PROSPECTIVE,13,multiclass_brier,0.5312587081788677,0.5372197820001064,0.005961073821238783,lower,-0.005961073821238783
P4,STRICT_PROSPECTIVE,13,nll_log_loss,0.8525424534231397,0.8599701230246755,0.007427669601535736,lower,-0.007427669601535736
P4,STRICT_PROSPECTIVE,13,ordinal_mae,0.48333333333333334,0.48333333333333334,0.0,lower,-0.0
P4,STRICT_PROSPECTIVE,13,quadratic_weighted_kappa,0.20949856486346607,0.2368030527877888,0.027304487924322718,higher,0.027304487924322718
P4,STRICT_PROSPECTIVE,13,ranked_probability_score,0.13844745342079337,0.1404652431864776,0.0020177897656842303,lower,-0.0020177897656842303
P4,STRICT_PROSPECTIVE,13,two_level_reversal_rate,0.03833333333333333,0.03833333333333333,0.0,lower,-0.0
P4,STRICT_PROSPECTIVE,13,weighted_f1,0.5805104274282512,0.5827885510437739,0.002278123615522709,higher,0.002278123615522709
P4,STRICT_PROSPECTIVE,13,weighted_precision,0.644630581654987,0.6595434635671438,0.014912881912156783,higher,0.014912881912156783
P4,STRICT_PROSPECTIVE,13,weighted_recall,0.555,0.555,0.0,higher,0.0
P5,STRICT_PROXY,6,accuracy,0.4533333333333333,0.49916666666666665,0.04583333333333334,higher,0.04583333333333334
P5,STRICT_PROXY,6,adjacent_accuracy,0.9508333333333333,0.9491666666666667,-0.0016666666666665941,higher,-0.0016666666666665941
P5,STRICT_PROXY,6,balanced_accuracy,0.37767755166136824,0.3705558617623068,-0.007121689899061423,higher,-0.007121689899061423
P5,STRICT_PROXY,6,ece_confidence,0.11437666834881807,0.10631130080242084,-0.008065367546397237,lower,0.008065367546397237
P5,STRICT_PROXY,6,macro_f1,0.3459812427215396,0.3546512484092715,0.008670005687731908,higher,0.008670005687731908
P5,STRICT_PROXY,6,macro_precision,0.3582567705120043,0.3599057191162454,0.0016489486042411405,higher,0.0016489486042411405
P5,STRICT_PROXY,6,macro_recall,0.37767755166136824,0.3705558617623068,-0.007121689899061423,higher,-0.007121689899061423
P5,STRICT_PROXY,6,multiclass_brier,0.6252650977098453,0.6107071925589652,-0.014557905150880068,lower,0.014557905150880068
P5,STRICT_PROXY,6,nll_log_loss,1.0058826951659172,0.9926980389598213,-0.01318465620609588,lower,0.01318465620609588
P5,STRICT_PROXY,6,ordinal_mae,0.5958333333333333,0.5516666666666666,-0.04416666666666669,lower,0.04416666666666669
P5,STRICT_PROXY,6,quadratic_weighted_kappa,0.09450944442230147,0.06011732549032145,-0.03439211893198002,higher,-0.03439211893198002
P5,STRICT_PROXY,6,ranked_probability_score,0.15970978806873512,0.16060140738079312,0.0008916193120580007,lower,-0.0008916193120580007
P5,STRICT_PROXY,6,two_level_reversal_rate,0.049166666666666664,0.050833333333333335,0.0016666666666666705,lower,-0.0016666666666666705
P5,STRICT_PROXY,6,weighted_f1,0.49549593811758114,0.534340737514518,0.03884479939693691,higher,0.03884479939693691
P5,STRICT_PROXY,6,weighted_precision,0.5823527360314642,0.5898995245245244,0.00754678849306023,higher,0.00754678849306023
P5,STRICT_PROXY,6,weighted_recall,0.4533333333333333,0.49916666666666665,0.04583333333333334,higher,0.04583333333333334
