run_id,policy_contract_sha256,scientific_input_sha256,fold_contract_hash,estimand,policy_id,policy_name,n_features,model_name,metric,value
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,independently_retuned_policy_performance,P0,INFORMATION_RICH_DIAGNOSTIC,26,xgboost,quadratic_weighted_kappa,0.8528736591677448
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,independently_retuned_policy_performance,P0,INFORMATION_RICH_DIAGNOSTIC,26,xgboost,ranked_probability_score,0.030127457177688884
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,independently_retuned_policy_performance,P0,INFORMATION_RICH_DIAGNOSTIC,26,xgboost,two_level_reversal_rate,0.0025
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,independently_retuned_policy_performance,P0,INFORMATION_RICH_DIAGNOSTIC,26,xgboost,weighted_f1,0.9290481473047753
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,independently_retuned_policy_performance,P0,INFORMATION_RICH_DIAGNOSTIC,26,xgboost,weighted_precision,0.9298439877714005
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,independently_retuned_policy_performance,P0,INFORMATION_RICH_DIAGNOSTIC,26,xgboost,weighted_recall,0.9291666666666667
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,accuracy,0.7708333333333334
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,adjacent_accuracy,0.9983333333333333
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,balanced_accuracy,0.6400478278264968
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,ece_confidence,0.0455902970342998
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,macro_f1,0.6278873375943658
