feature_set,n_features,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,weighted_precision_mean,weighted_precision_std,macro_recall_mean,macro_recall_std,weighted_recall_mean,weighted_recall_std,ordinal_mae_mean,ordinal_mae_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,pr_auc_macro_mean,pr_auc_macro_std,pr_auc_weighted_mean,pr_auc_weighted_std
all_features,24,10,0.9341666666666667,0.028450194731265265,0.8787034945292659,0.04400091051380512,0.8960301282429863,0.0419385821002806,0.9331150556283141,0.028202846660912297,0.9211379621522487,0.04825086047823198,0.9352478681199419,0.028388862456856595,0.8787034945292659,0.04400091051380512,0.9341666666666667,0.028450194731265265,0.06833333333333333,0.02854496128592251,0.8594237258090154,0.05557367789328822,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9781876312348137,0.009512539671129723,0.9727089291446006,0.012080568058023279,0.9354422662664923,0.03681866592065816,0.9668947638426909,0.018040377357408897
career_tenure_only,7,10,0.7166666666666667,0.020412414523193118,0.3385442446240995,0.01975006300895046,0.30050570520507425,0.030131920405461983,0.6186772339381055,0.019886126377852285,0.33574710624079673,0.12276262300709148,0.5762557415201964,0.06188160111871632,0.3385442446240995,0.01975006300895046,0.7166666666666667,0.020412414523193118,0.285,0.021444732295131982,0.024286431712729505,0.04581044440802245,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.6501103713283424,0.046910065612716545,0.6448755110454176,0.04610793392098688,0.4446151873385479,0.04179757482339186,0.6753620969697247,0.03556831929529312
compensation_only,2,10,0.7716666666666666,0.015811388300841885,0.5583551611727656,0.03083124009069446,0.5139761896945192,0.025957392684635205,0.710832240507455,0.012989667972232881,0.5035627444411107,0.056146483158094986,0.6718321166578344,0.02883197433792713,0.5583551611727656,0.03083124009069446,0.7716666666666666,0.015811388300841885,0.2558333333333333,0.02043130616492588,0.27691636858542273,0.08089725378245631,0.9725000000000001,0.012453617650811027,0.027500000000000004,0.012453617650811053,0.6986182005452515,0.041987713531135576,0.6840430051421592,0.03762016936073607,0.5494224274074218,0.046163415564731754,0.699369624988076,0.03821556325633462
role_org_only,6,10,0.7274999999999998,0.005624571314254588,0.33295019157088124,0.0012116006360798316,0.2808846108527975,0.0010164277261283802,0.6137445414253473,0.005835303729376726,0.24290489642184557,0.0013803374479421655,0.5307625941619586,0.006096042257753819,0.33295019157088124,0.0012116006360798316,0.7274999999999998,0.005624571314254588,0.2733333333333333,0.007657804862272353,-0.00642377756471717,0.020313768286795944,0.9991666666666668,0.00263523138347364,0.0008333333333333333,0.002635231383473649,0.6128930101009117,0.036853376983124096,0.6202546984274616,0.03755037581675375,0.4176700855995875,0.02810835344058676,0.6519096513025731,0.023422307003415316
satisfaction_only,5,10,0.6875000000000001,0.026131788503092737,0.38117677744719486,0.025821590815221555,0.3714706828885389,0.035769067373382084,0.6373848537938842,0.02487349358707055,0.403075657791217,0.11032375403463095,0.6104404388235978,0.041485347918979794,0.38117677744719486,0.025821590815221555,0.6875000000000001,0.026131788503092737,0.32166666666666666,0.030981874430219297,0.130858508182409,0.08199029215862709,0.9908333333333333,0.009170874455121776,0.009166666666666667,0.009170874455121767,0.6924625719495718,0.038643787661303684,0.6749180333080258,0.033406148393032076,0.46434185861320854,0.0317887379664058,0.678312886906468,0.030101131217780713
shap_top_10,10,10,0.9308333333333335,0.030441707095105526,0.8736230763590109,0.044224727367391116,0.8907135801046255,0.044687068715727564,0.929708186086191,0.03007831471702433,0.9156328835934966,0.052608882403290425,0.9318295397615322,0.030101975453335386,0.8736230763590109,0.044224727367391116,0.9308333333333335,0.030441707095105526,0.07166666666666666,0.030479703831878226,0.8533124167600639,0.05798797215155493,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9765041361548811,0.01145099695324545,0.9716005689430036,0.014234178921794655,0.9307260487205211,0.040364395002550076,0.9649330067745119,0.02031351623599306
shap_top_15,15,10,0.9341666666666668,0.02817767700647946,0.8787034945292659,0.043368419952197035,0.8959953439242436,0.04116287696763361,0.9330733812478214,0.02787943768731317,0.9212145784389408,0.04863980642204512,0.9352604054002629,0.028066960782747688,0.8787034945292659,0.043368419952197035,0.9341666666666668,0.02817767700647946,0.06833333333333333,0.028544961285922505,0.8595736670809003,0.05587883489674885,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9771397272314397,0.010131344997677804,0.9718131410068356,0.013077892636612373,0.9314448217994002,0.0419452442566709,0.9655458616777158,0.020074715006825092
shap_top_20,20,10,0.9333333333333333,0.027498597046143505,0.8783203527668138,0.043150431435607726,0.8953273874491355,0.04011792664419316,0.9322775229647007,0.02720567934390281,0.920866042247708,0.046121217550190274,0.9347131977701902,0.02723859080713092,0.8783203527668138,0.043150431435607726,0.9333333333333333,0.027498597046143505,0.06916666666666665,0.027791663196179466,0.8580405991043462,0.05436391042498641,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.9776554156258154,0.009716637380236771,0.9728498240534466,0.012192042918683118,0.9367007007812471,0.03196824648435822,0.9678157393603419,0.01565768963338123
shap_top_5,5,10,0.9324999999999999,0.024040218359354243,0.8840062851042887,0.03973481476419619,0.8953339288083357,0.034148905522458285,0.9317512552169456,0.02408610208908417,0.9120615533519866,0.03732380848889573,0.9333026258864464,0.02426229798967581,0.8840062851042887,0.03973481476419619,0.9324999999999999,0.024040218359354243,0.07,0.024279748203791286,0.8572474741284299,0.05007641866283076,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.950478393023473,0.022286011432411327,0.9470425063569661,0.024953968965688907,0.8990024670873256,0.04808155941897288,0.9413906127268147,0.028576650741139784
