feature_set,fold_a,fold_b,top_k,jaccard,spearman
no_salary_hike_no_attrition_no_department_no_job_role,1,5,15,1.0,0.943859649122807
no_salary_hike_no_attrition_no_department_no_job_role,2,3,5,1.0,0.8087719298245614
no_salary_hike_no_attrition_no_department_no_job_role,2,3,10,0.8181818181818182,0.8087719298245614
no_salary_hike_no_attrition_no_department_no_job_role,2,3,15,0.6666666666666666,0.8087719298245614
no_salary_hike_no_attrition_no_department_no_job_role,2,4,5,1.0,0.719298245614035
no_salary_hike_no_attrition_no_department_no_job_role,2,4,10,0.5384615384615384,0.719298245614035
no_salary_hike_no_attrition_no_department_no_job_role,2,4,15,0.7647058823529411,0.719298245614035
no_salary_hike_no_attrition_no_department_no_job_role,2,5,5,1.0,0.8526315789473684
no_salary_hike_no_attrition_no_department_no_job_role,2,5,10,0.6666666666666666,0.8526315789473684
no_salary_hike_no_attrition_no_department_no_job_role,2,5,15,0.7647058823529411,0.8526315789473684
no_salary_hike_no_attrition_no_department_no_job_role,3,4,5,1.0,0.8105263157894737
no_salary_hike_no_attrition_no_department_no_job_role,3,4,10,0.6666666666666666,0.8105263157894737
no_salary_hike_no_attrition_no_department_no_job_role,3,4,15,0.7647058823529411,0.8105263157894737
no_salary_hike_no_attrition_no_department_no_job_role,3,5,5,1.0,0.8421052631578947
no_salary_hike_no_attrition_no_department_no_job_role,3,5,10,0.8181818181818182,0.8421052631578947
no_salary_hike_no_attrition_no_department_no_job_role,3,5,15,0.7647058823529411,0.8421052631578947
no_salary_hike_no_attrition_no_department_no_job_role,4,5,5,1.0,0.7736842105263159
no_salary_hike_no_attrition_no_department_no_job_role,4,5,10,0.5384615384615384,0.7736842105263159
no_salary_hike_no_attrition_no_department_no_job_role,4,5,15,0.875,0.7736842105263159
