model,accuracy,macro_f1,nll_log_loss,multiclass_brier,ece_confidence
catboost,0.9333333333333333,0.8881014089055751,0.208843576539507,0.11163105650227889,0.0333938383133271
lightgbm,0.9291666666666667,0.88938170013589,0.3614847396785453,0.13330000023422267,0.0615320640402705
xgboost,0.9333333333333333,0.8933303050950111,0.21436883900999792,0.1169728328850752,0.04978678449988365
