system_id,support_threshold,attribute,metric,gap_max_minus_min,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,bootstrap_std,n_resamples,n_valid_cell_draws,n_complete_familywise_draws,familywise_critical_value,resample_hash,status,interval_scope,eligibility_scope,model_training_variability_included,claim_boundary
no_salary_hike_no_attrition_no_department,20,Gender,quadratic_weighted_kappa,0.05265881918652138,0.003158473765021289,0.13858132139823823,0.0,0.24200192689836528,0.03731656803024592,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,Gender,ordinal_mae,0.05081669691470056,0.006248009421793166,0.09876587801523366,0.0,0.17194068142512547,0.02387164477598247,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,Gender,recall_class_2,0.03910364145658263,0.001971014492753609,0.10915425072065946,0.0,0.19027999443647922,0.029794497030883466,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,Gender,recall_class_3,0.056700777732296315,0.0077249044603156245,0.10663054673808178,0.0,0.18541989893629546,0.025368527543725542,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,Gender,recall_class_4,0.0036310820624546325,0.0014634146341463428,0.1403918961201501,0.0,0.19730454846426754,0.03817001406587094,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,Gender,multiclass_brier,0.054147412989440036,0.006447845361733258,0.10521200148110169,0.0,0.18256122910603143,0.025308356681411556,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,Gender,log_loss,0.08102999321437299,0.009291753907277189,0.1592791621587488,0.0,0.27716776235271046,0.03865568963033136,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,macro_f1,0.010145969384504183,0.006907743085243673,0.08312682526817912,0.0,0.11350396151714184,0.02037024527323702,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,balanced_accuracy,0.012657850325330067,0.0072225375543031045,0.09128653826985485,0.0,0.12566185062615398,0.022271322763610935,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,quadratic_weighted_kappa,0.038142176464454614,0.013998524837090878,0.16605198777025343,0.0,0.24310272117628945,0.04039452083936096,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,ordinal_mae,0.02907338308457713,0.008432731374102118,0.09809140333537097,0.0,0.14847141182601525,0.023531485862098946,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,recall_class_2,0.010905642484589806,0.011043131502684284,0.13414386369512524,0.0,0.17639912934260268,0.03261618041200738,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,recall_class_3,0.01516436903499463,0.007628166840857792,0.09214325808994923,0.0,0.12785810803439984,0.022210175108956596,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,recall_class_4,0.04223227752639516,0.01920695563582478,0.22552787307032582,0.0,0.3179585358372309,0.05434133727032857,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,multiclass_brier,0.05243014822489944,0.012483939754533319,0.12000201172029061,0.0,0.19618729663562098,0.028332287735907298,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,MaritalStatus,log_loss,0.09353879017193961,0.028129671096157622,0.19374391173317718,0.0,0.311665661438318,0.04298939807845638,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
no_salary_hike_no_attrition_no_department,20,BusinessTravelFrequency,macro_f1,0.05284450730593149,0.017537771134039745,0.13119800954038305,0.0,0.1987432274855583,0.02875435806934468,5000,5000,5000,5.073968955515337,d16aadb56f2dde124df62387447bb01ddf51236f7f9e9e01b6218e8f6265f646,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,fixed_from_complete_oof_before_resampling,False,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
