panel,audited_attribute,eligible_groups,support_context,metric,class_label,support_status,headline_eligible,largest_supported_gap_full_precision,largest_supported_gap_display,largest_supported_gap_ci_lower_full_precision,largest_supported_gap_ci_upper_full_precision,largest_supported_gap_interval_display,predictor_policy,target_class_support,estimation_status,interpretation,proxy_metric_full_precision,proxy_metric_display,proxy_metric_ci_lower_full_precision,proxy_metric_ci_upper_full_precision,proxy_metric_interval_display
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=114.0,false_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.0350992159297325,0.0351,0.0083970502039491,0.1088901226610138,"[0.0084, 0.1089]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,macro_f1,N/A,support_sufficient_descriptive_estimate,True,0.0528445073059314,0.0528,0.0175435126660449,0.1298737573862913,"[0.0175, 0.1299]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,mean_predicted_probability,2.0,support_sufficient_descriptive_estimate,True,0.003975763683381,0.0040,0.0067828450603187,0.0890477278182638,"[0.0068, 0.0890]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,mean_predicted_probability,3.0,support_sufficient_descriptive_estimate,True,0.0322020891522513,0.0322,0.0093352284467537,0.0890162773666424,"[0.0093, 0.0890]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,mean_predicted_probability,4.0,support_sufficient_descriptive_estimate,True,0.0282263254688703,0.0282,0.0079869623752304,0.0688939045886512,"[0.0080, 0.0689]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,positive_prediction_rate,2.0,support_sufficient_descriptive_estimate,True,0.0097249086610788,0.0097,0.0073520762459506,0.1003821840937674,"[0.0074, 0.1004]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,positive_prediction_rate,3.0,support_sufficient_descriptive_estimate,True,0.0371265849989254,0.0371,0.0104692781027438,0.1379983677524661,"[0.0105, 0.1380]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=132.0,positive_prediction_rate,4.0,support_sufficient_descriptive_estimate,True,0.0298935298935298,0.0299,0.0078193726503759,0.1063602333615698,"[0.0078, 0.1064]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=25.0,precision,2.0,support_sufficient_descriptive_estimate,True,0.0242105263157894,0.0242,0.0177252048669356,0.219047619047619,"[0.0177, 0.2190]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=87.0,precision,3.0,support_sufficient_descriptive_estimate,True,0.0739642361034551,0.0740,0.0267516546606737,0.1505091509550997,"[0.0268, 0.1505]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=20.0,precision,4.0,support_sufficient_descriptive_estimate,True,0.0973544973544973,0.0974,0.0317460317460317,0.2623150858704134,"[0.0317, 0.2623]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=21.0,true_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.088235294117647,0.0882,0.0563295774647888,0.1764705882352941,"[0.0563, 0.1765]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=93.0,true_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0455831661264598,0.0456,0.0114326460459395,0.1450983813219549,"[0.0114, 0.1451]",,,,,,,,,
A_supported_subgroup,BusinessTravelFrequency,"[""Non-Travel"",""Travel_Frequently"",""Travel_Rarely""]",groups=3.0; minimum_group_support=132.0; metric_denominator>=18.0,true_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.15235134084726,0.1524,0.0609833365164247,0.3063063063063063,"[0.0610, 0.3063]",,,,,,,,,
