feature_set,model,fold,n_features,removed_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition,catboost,1,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.5875199362041467,0.5458601458601459,0.7627970827970827,0.5102345734349321,0.7225160615568506,0.5875199362041467,0.8083333333333333,0.19166666666666668,0.5635673624288424,1.0,0.0,0.4861702066661681,0.28404387869271386,0.055747188267329884
no_salary_hike_no_attrition,lightgbm,1,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8333333333333334,0.5988835725677831,0.5861606287138202,0.7922560858731071,0.5762962962962962,0.7567407407407407,0.5988835725677831,0.8333333333333334,0.16666666666666666,0.603174603174603,1.0,0.0,0.6594069934263461,0.27037546555690356,0.10105825735166607
no_salary_hike_no_attrition,xgboost,1,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8833333333333333,0.6847319347319347,0.6725294418842805,0.8440290578597031,0.927437641723356,0.895124716553288,0.6847319347319347,0.8833333333333333,0.11666666666666667,0.7307692307692308,1.0,0.0,0.4246546221662054,0.22734403985145224,0.07364065895477928
no_salary_hike_no_attrition,catboost,2,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8,0.597488038277512,0.5412291412291412,0.7562596662596662,0.4980905619203491,0.7198376977632297,0.597488038277512,0.8,0.2,0.5667870036101084,1.0,0.0,0.5496451643624869,0.318861363282438,0.10263275497138083
no_salary_hike_no_attrition,lightgbm,2,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8416666666666667,0.616427432216906,0.5827985739750446,0.7934068627450981,0.5526695526695526,0.7503968253968254,0.616427432216906,0.8416666666666667,0.15833333333333333,0.6267190569744597,1.0,0.0,0.7398801219963279,0.28460202826792447,0.1321162071727588
no_salary_hike_no_attrition,xgboost,2,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8666666666666667,0.6277910685805422,0.6115694642010432,0.8170744428639165,0.5991285403050108,0.7750272331154684,0.6277910685805422,0.8666666666666667,0.13333333333333333,0.6680497925311204,1.0,0.0,0.43855125882302903,0.24308792266126167,0.07755566636721298
no_salary_hike_no_attrition,catboost,3,21,"Age, EmpLastSalaryHikePercent, Attrition",0.825,0.6088516746411483,0.5653367653367654,0.7782646932646933,0.5281637531749589,0.7369602569849096,0.6088516746411483,0.825,0.175,0.6015180265654649,1.0,0.0,0.5110919505841628,0.30019962616104584,0.09392819049214915
no_salary_hike_no_attrition,lightgbm,3,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8416666666666667,0.6245245982088087,0.6246114394721206,0.8066013071895425,0.7301967038809144,0.8097222222222222,0.6245245982088087,0.8416666666666667,0.15833333333333333,0.6296296296296295,1.0,0.0,0.6726092792029994,0.2802580850426285,0.1274717561080917
no_salary_hike_no_attrition,xgboost,3,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8583333333333333,0.6377591706539075,0.603030303030303,0.8091666666666666,0.5719095719095719,0.7653439153439154,0.6377591706539075,0.8583333333333333,0.14166666666666666,0.6660117878192534,1.0,0.0,0.4435593152890007,0.2383750678527714,0.10556656718254087
no_salary_hike_no_attrition,catboost,4,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8,0.583732057416268,0.5338632223878125,0.7563172710713694,0.49403508771929827,0.7188771929824561,0.583732057416268,0.8,0.20833333333333334,0.5045871559633026,0.9916666666666667,0.008333333333333333,0.5157840470400206,0.30710555504919745,0.05583762894038542
no_salary_hike_no_attrition,lightgbm,4,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8166666666666667,0.6050637958532695,0.558647858685983,0.7743741263184648,0.5203216374269006,0.7374159356725145,0.6050637958532695,0.8166666666666667,0.19166666666666668,0.5429616087751372,0.9916666666666667,0.008333333333333333,0.738693766649649,0.3143532623026622,0.14501619817514055
no_salary_hike_no_attrition,xgboost,4,21,"Age, EmpLastSalaryHikePercent, Attrition",0.825,0.5950956937799043,0.5625668449197861,0.7776470588235295,0.5334295334295334,0.7354497354497355,0.5950956937799043,0.825,0.175,0.5874263261296659,1.0,0.0,0.5086492867244072,0.29161185870000794,0.07070210079352057
no_salary_hike_no_attrition,catboost,5,21,"Age, EmpLastSalaryHikePercent, Attrition",0.825,0.6261343012704174,0.5741517346549753,0.7743614182234084,0.53125,0.73046875,0.6261343012704174,0.825,0.175,0.6181818181818182,1.0,0.0,0.4676410588031371,0.2747362542875269,0.04531925902867221
no_salary_hike_no_attrition,lightgbm,5,21,"Age, EmpLastSalaryHikePercent, Attrition",0.825,0.6124218592458157,0.5804347826086956,0.7807789855072464,0.5516282114220258,0.7410612011127475,0.6124218592458157,0.825,0.18333333333333332,0.55895865237366,0.9916666666666667,0.008333333333333333,0.6505838845107952,0.29491255594091026,0.14722879962837054
no_salary_hike_no_attrition,xgboost,5,21,"Age, EmpLastSalaryHikePercent, Attrition",0.85,0.6239161121193789,0.5936285936285937,0.7971250971250972,0.5666666666666667,0.7508333333333332,0.6239161121193789,0.85,0.15833333333333333,0.5909090909090909,0.9916666666666667,0.008333333333333333,0.4432706572430248,0.2576512110811159,0.08503149201472605
no_salary_hike_no_attrition,catboost,6,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8333333333333334,0.6299657188949385,0.582815734989648,0.7819099378881986,0.5426565067981474,0.7367996414164052,0.6299657188949385,0.8333333333333334,0.16666666666666666,0.6302003081664098,1.0,0.0,0.45515540427568624,0.27589165273369287,0.053547062962708655
no_salary_hike_no_attrition,lightgbm,6,21,"Age, EmpLastSalaryHikePercent, Attrition",0.825,0.6124218592458157,0.5804347826086956,0.7807789855072464,0.5516282114220258,0.7410612011127475,0.6124218592458157,0.825,0.18333333333333332,0.55895865237366,0.9916666666666667,0.008333333333333333,0.7406872696192031,0.31002695528699853,0.13365882257384598
no_salary_hike_no_attrition,xgboost,6,21,"Age, EmpLastSalaryHikePercent, Attrition",0.85,0.6376285541439807,0.5953856295319709,0.7974027686222809,0.5584415584415584,0.750974025974026,0.6376285541439807,0.85,0.15833333333333333,0.6050156739811913,0.9916666666666667,0.008333333333333333,0.4537000837720156,0.2580448366942452,0.055934417744477605
no_salary_hike_no_attrition,catboost,7,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8416666666666667,0.618007662835249,0.5848133848133849,0.7933976833976835,0.5550401978973408,0.7503942486085343,0.618007662835249,0.8416666666666667,0.15833333333333333,0.6376350921805467,1.0,0.0,0.4753163538580583,0.27817589546107657,0.06714674441907233
