feature_set,model,n_folds,n_features_mean,n_features_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,weighted_precision_mean,weighted_precision_std,macro_recall_mean,macro_recall_std,weighted_recall_mean,weighted_recall_std,ordinal_mae_mean,ordinal_mae_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,adjacent_accuracy_mean,adjacent_accuracy_std,severe_error_rate_mean,severe_error_rate_std,nll_log_loss_mean,nll_log_loss_std,multiclass_brier_mean,multiclass_brier_std,ece_confidence_mean,ece_confidence_std
no_salary_hike_no_attrition,catboost,10,21.0,0.0,0.8166666666666667,0.015214515486254595,0.5999400538964966,0.020177622165538953,0.5578770497414102,0.01894167399871222,0.7700696225261504,0.01302133218563823,0.5223530908352888,0.019931149351364964,0.7291779046823035,0.010993384796497389,0.5999400538964966,0.020177622165538953,0.8166666666666667,0.015214515486254595,0.185,0.017033010796395444,0.5786299971459605,0.04649722652797497,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.5116957594077235,0.04404235936505188,0.29984803321530806,0.02373683796531306,0.07838981850590632,0.025713202958385598
no_salary_hike_no_attrition,lightgbm,10,21.0,0.0,0.8283333333333334,0.015811388300841913,0.6046946182472498,0.014612399332010107,0.5820106374373656,0.018065283171451115,0.786441404447695,0.012458308678069588,0.5731441946445509,0.05746454674128723,0.7530296235797406,0.021282853386090695,0.6046946182472498,0.014612399332010107,0.8283333333333334,0.015811388300841913,0.175,0.017568209223157667,0.5872131143606752,0.0386444070097847,0.9966666666666667,0.004303314829119337,0.003333333333333333,0.004303314829119352,0.7369005429014566,0.08652087115264932,0.2990936061161851,0.02222713020700611,0.13492281693268277,0.019494934233362796
no_salary_hike_no_attrition,xgboost,10,21.0,0.0,0.8541666666666666,0.01631575017287602,0.6272439775388958,0.026882624971567657,0.6033579410084791,0.02854361122728732,0.8061568939092352,0.017894521261142566,0.6097018322480507,0.1132646410623464,0.7730993580260387,0.044572754122993836,0.6272439775388958,0.026882624971567657,0.8541666666666666,0.01631575017287602,0.14749999999999996,0.01714588818001218,0.6442151680602106,0.04706130892888133,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.46981263617890445,0.05103799166357524,0.26042814845427814,0.025858307233532985,0.08405855968594551,0.020142153243843847
no_salary_hike_no_attrition_no_department,catboost,10,20.0,0.0,0.8091666666666667,0.01981784331304107,0.5886238977799776,0.030617408522670045,0.5483536642230996,0.025495326926585397,0.7624846931971869,0.017906890641435254,0.5143092856318313,0.02315168391921113,0.7215740436535115,0.016230560574369973,0.5886238977799776,0.030617408522670045,0.8091666666666667,0.01981784331304107,0.19166666666666668,0.021154925294066422,0.563675576129038,0.05865852601679025,0.9991666666666668,0.00263523138347364,0.0008333333333333333,0.002635231383473649,0.5121640930816049,0.0434844874947375,0.3003379429285159,0.02508775333730291,0.07183763777663958,0.026934340645635338
no_salary_hike_no_attrition_no_department,lightgbm,10,20.0,0.0,0.835,0.01703301079639542,0.6076589713976285,0.01588868928608494,0.5859581862658361,0.020723158545501424,0.7907546827052225,0.014403902477548473,0.5940089608705734,0.10842254993757504,0.7606744571411059,0.03836288848298457,0.6076589713976285,0.01588868928608494,0.835,0.01703301079639542,0.16749999999999998,0.016410061653046596,0.6006999974264656,0.030437931928465358,0.9974999999999999,0.004025382429497052,0.0025,0.004025382429497066,0.7374911901882426,0.09465319441811863,0.29743843867225117,0.024816819460960038,0.13873456030429723,0.020341485564437472
no_salary_hike_no_attrition_no_department,xgboost,10,20.0,0.0,0.8491666666666667,0.019023215186959912,0.626250421286719,0.026025646626788617,0.5987215278292141,0.028332620126966187,0.8018832464890222,0.019708777191465847,0.6020167981733123,0.11059800386227181,0.7693473596257061,0.04250724175404232,0.626250421286719,0.026025646626788617,0.8491666666666667,0.019023215186959912,0.1525,0.020431306164925882,0.6380278784486674,0.05171212697389797,0.9983333333333334,0.0035136418446315197,0.0016666666666666666,0.0035136418446315323,0.47769559286708513,0.041045459319842666,0.2665237065304438,0.019681773529117076,0.08080865311125915,0.026703045977718123
