feature_set,model,fold,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,severe_error_rate,nll_log_loss,multiclass_brier
all_features,catboost,1,24,0.9333333333333333,0.9421850079744817,0.9210040605389443,0.9357327427094869,0.9051069703243616,0.9412353347135956,0.9421850079744817,0.9333333333333333,0.06666666666666667,0.8805970149253731,0.0,0.1816304560320658,0.10226403764840467
all_features,lightgbm,1,24,0.9833333333333333,0.9924242424242425,0.9795019157088123,0.983654214559387,0.9682539682539683,0.9849206349206349,0.9924242424242425,0.9833333333333333,0.016666666666666666,0.9693251533742331,0.0,0.14800980820558768,0.03946914778794317
all_features,xgboost,1,24,0.9666666666666667,0.9492393571340939,0.9534498834498835,0.966820512820513,0.9590909090909091,0.9674999999999999,0.9492393571340939,0.9666666666666667,0.03333333333333333,0.9367088607594937,0.0,0.10904076963507556,0.05487723448832626
all_features,catboost,2,24,0.8833333333333333,0.8538982946877683,0.8442240867870158,0.8888147300618695,0.8604789528484308,0.9060166592295106,0.8538982946877683,0.8833333333333333,0.125,0.7473997028231798,0.008333333333333333,0.27907190628182726,0.16663686964971988
all_features,lightgbm,2,24,0.9416666666666667,0.9022665930560668,0.9085082474912984,0.941493612256324,0.9152181567911906,0.9415782355389096,0.9022665930560668,0.9416666666666667,0.058333333333333334,0.888,0.0,0.2850009738795591,0.09528566090210606
all_features,xgboost,2,24,0.95,0.9060544718439455,0.9258985478677969,0.9495864544319601,0.9500974658869396,0.9507407407407408,0.9060544718439455,0.95,0.05,0.9019607843137255,0.0,0.18185889099127808,0.08911177804376962
all_features,catboost,3,24,0.8916666666666667,0.8358330266225004,0.8448645927715696,0.8926873049431189,0.8797892720306514,0.9032447318007663,0.8358330266225004,0.8916666666666667,0.10833333333333334,0.7952755905511811,0.0,0.2980239310382464,0.16831333433430756
all_features,lightgbm,3,24,0.9416666666666667,0.8941694270641639,0.9100057315974781,0.9410343486448866,0.9373996789727127,0.944422150882825,0.8941694270641639,0.9416666666666667,0.058333333333333334,0.8869143780290791,0.0,0.28691705632316344,0.10082577263304038
all_features,xgboost,3,24,0.95,0.8979573058520427,0.9196447584332293,0.9489709769143087,0.9518518518518518,0.9515740740740741,0.8979573058520427,0.95,0.05,0.9016393442622951,0.0,0.19631125866672902,0.09530569120604547
all_features,catboost,4,24,0.8416666666666667,0.7993497730339835,0.779923273657289,0.8470812020460359,0.7792012263556979,0.8621383208781583,0.7993497730339835,0.8416666666666667,0.16666666666666666,0.6783625730994152,0.008333333333333333,0.31307646665883443,0.19679548374709646
all_features,lightgbm,4,24,0.8833333333333333,0.8425806649490859,0.8285199485199485,0.882975546975547,0.8177522349936144,0.8837771392081737,0.8425806649490859,0.8833333333333333,0.125,0.7372488408037094,0.008333333333333333,0.4521120426737139,0.18051284717617727
all_features,xgboost,4,24,0.8916666666666667,0.86578333946755,0.8504990474537916,0.8934712627473096,0.8382010146716029,0.8970142602495543,0.86578333946755,0.8916666666666667,0.10833333333333334,0.8033282904689864,0.0,0.2811402496573803,0.17013878443146097
all_features,catboost,5,24,0.9166666666666666,0.8817733990147784,0.870334928229665,0.9169178628389154,0.8777922077922078,0.9255010822510822,0.8817733990147784,0.9166666666666666,0.09166666666666666,0.8083538083538084,0.008333333333333333,0.25912015012088496,0.14632425889985518
all_features,lightgbm,5,24,0.9416666666666667,0.8858208740241408,0.9059013209013208,0.9409849456099456,0.9350187265917603,0.9436657303370787,0.8858208740241408,0.9416666666666667,0.06666666666666667,0.841897233201581,0.008333333333333333,0.41722693247605924,0.12123397393798532
all_features,xgboost,5,24,0.9166666666666666,0.8543485149655748,0.8703910181958964,0.9162373209446381,0.9053030303030303,0.9228219696969698,0.8543485149655748,0.9166666666666666,0.09166666666666666,0.796875,0.008333333333333333,0.2346435391023636,0.12806146669029544
all_features,catboost,6,24,0.9083333333333333,0.8842076455506582,0.8685040449746332,0.9106163444398738,0.8668406961178046,0.919739625167336,0.8842076455506582,0.9083333333333333,0.1,0.7968561064087062,0.008333333333333333,0.23598652275345497,0.1367560704876079
all_features,lightgbm,6,24,0.9166666666666666,0.8606141791259758,0.8717460317460318,0.9163467643467643,0.8866161616161615,0.9174179292929293,0.8606141791259758,0.9166666666666666,0.09166666666666666,0.7979274611398963,0.008333333333333333,0.43339346594015377,0.1361647779845652
all_features,xgboost,6,24,0.925,0.8781580387750987,0.8833922782198643,0.9249679487179487,0.8934044882320743,0.9267857142857142,0.8781580387750987,0.925,0.08333333333333333,0.8160919540229885,0.008333333333333333,0.2390919857080159,0.12738103793411842
all_features,catboost,7,24,0.925,0.8872531682876511,0.8937261532134615,0.9254255294843381,0.9150516795865634,0.9315568475452196,0.8872531682876511,0.925,0.075,0.8623151453340132,0.0,0.24280229845543774,0.1375280324912833
all_features,lightgbm,7,24,0.9416666666666667,0.8949160035366931,0.9114423740510696,0.9409965493443753,0.9393939393939394,0.9443181818181817,0.8949160035366931,0.9416666666666667,0.058333333333333334,0.889937106918239,0.0,0.31531215829632564,0.11794382846267751
