run_id,config_hash,analysis_type,policy,attribute,metric,class_label,gap,ci_low,ci_high,confidence_level,n_groups_total,n_groups_included,minimum_subgroup_support,minimum_group_support_threshold,minimum_metric_denominator,minimum_metric_denominator_threshold,bootstrap_samples_requested,valid_bootstrap_samples,valid_bootstrap_fraction,estimate_status,interpretation_category,limitations,estimate,proxy_policy
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,positive_prediction_rate,4.0,0.006968641114982578,0.0,0.017732073900204415,0.95,5.0,4.0,137.0,30.0,137.0,30.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.006968641114982578,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,precision,2.0,0.06578947368421062,0.03581805137571123,0.21970215518944328,0.95,5.0,4.0,137.0,30.0,27.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.06578947368421062,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,precision,3.0,0.01788124156545212,0.015484792428918865,0.10565738868065508,0.95,5.0,4.0,137.0,30.0,110.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.01788124156545212,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,precision,4.0,,,,0.95,5.0,0.0,0.0,30.0,0.0,10.0,5000.0,0.0,0.0,insufficient_subgroup_or_metric_support,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,true_positive_rate,2.0,0.08820512820512816,0.04810732848232844,0.2222222222222222,0.95,5.0,4.0,137.0,30.0,26.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.08820512820512816,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,true_positive_rate,3.0,0.02307076368731853,0.009888327872285564,0.0637256709135267,0.95,5.0,4.0,137.0,30.0,97.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.02307076368731853,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,Age,true_positive_rate,4.0,0.03225806451612903,0.0,0.10344827586206896,0.95,5.0,4.0,137.0,30.0,14.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,protected_or_sensitive_descriptive_audit,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.03225806451612903,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,BusinessTravelFrequency,accuracy,,0.04993291163503932,0.014677745612909313,0.11400505650136854,0.95,3.0,3.0,132.0,30.0,132.0,30.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,exploratory_operational_subgroup_diagnostic,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.04993291163503932,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,BusinessTravelFrequency,false_positive_rate,2.0,0.01801801801801802,0.00565181788045795,0.047337278106508875,0.95,3.0,3.0,132.0,30.0,111.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,exploratory_operational_subgroup_diagnostic,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.01801801801801802,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,subgroup_disparity,no_salary_hike_no_attrition,BusinessTravelFrequency,false_positive_rate,3.0,0.0809159280150416,0.026123003364004267,0.25614206739206724,0.95,3.0,3.0,132.0,30.0,39.0,10.0,5000.0,5000.0,1.0,support_sufficient_descriptive_estimate,exploratory_operational_subgroup_diagnostic,"Descriptive OOF subgroup audit only; gaps do not establish discrimination, fairness, or causality. Class-specific metrics require the configured metric denominator in every included subgroup.",0.0809159280150416,
