iter	TotalF1	MultiClass
160	0.8160531013	0.366959697
161	0.8169156665	0.3660300636
162	0.8169156665	0.364898079
163	0.8169156665	0.3640487316
164	0.8169156665	0.3634897361
165	0.8169156665	0.3624725403
166	0.8169156665	0.3613068685
167	0.8169156665	0.3606110052
168	0.8169156665	0.3592642134
169	0.8169156665	0.3589239255
170	0.8169156665	0.3578488087
171	0.8177797126	0.3567748767
172	0.820709444	0.3554271084
173	0.820709444	0.3541662139
174	0.8215765521	0.3535077123
175	0.820709444	0.3525292736
176	0.8198438519	0.3516974913
177	0.8198438519	0.3507927419
178	0.8169156665	0.3499914286
179	0.8186452574	0.348811587
180	0.8189797581	0.3479617568
181	0.8198438519	0.3471281844
182	0.8198438519	0.3462099792
183	0.8198438519	0.345118283
184	0.8198438519	0.344718037
185	0.8218822513	0.3441167131
186	0.8218822513	0.3431001246
187	0.8218822513	0.3420195758
188	0.8218822513	0.3409734933
189	0.8227478905	0.3403006908
190	0.8227478905	0.3393721533
191	0.8236150453	0.3385018893
192	0.8244837336	0.3368756596
193	0.8253539738	0.3358689305
194	0.8244837336	0.3349113991
195	0.8244837336	0.3339774565
196	0.8262257841	0.3335297713
197	0.8270991831	0.3328248365
198	0.8270991831	0.3318590785
199	0.8270991831	0.3310769214
200	0.8270991831	0.3303939392
201	0.8270991831	0.3298515015
202	0.8270991831	0.3286182336
203	0.8288508221	0.3277595961
204	0.8279741895	0.3266180356
205	0.8279741895	0.3258967417
206	0.8279741895	0.3250235413
207	0.8279741895	0.3240436223
208	0.8279741895	0.3231507655
209	0.8279741895	0.3225241697
210	0.8299877838	0.3217799598
211	0.8328535688	0.3209108308
212	0.8328535688	0.3197996936
213	0.8358836825	0.318267301
214	0.8367604899	0.3175405123
215	0.8367604899	0.3169286992
216	0.8367604899	0.3160546194
217	0.8405760023	0.3156292614
218	0.8386794066	0.315221939
219	0.8405760023	0.3147207357
220	0.8386794066	0.3137428345
221	0.8424507885	0.3128915194
222	0.8414545388	0.3123425039
223	0.8433293672	0.3118651896
224	0.8451828821	0.3110545749
225	0.8451828821	0.3097797746
226	0.8461369029	0.3091713621
227	0.850622214	0.3085600725
228	0.848830293	0.3078087846
229	0.848830293	0.3071547386
230	0.8523891426	0.3067438201
231	0.8514831322	0.305936576
232	0.8514831322	0.3050553332
233	0.8532751753	0.3044174302
234	0.8568145253	0.3037349478
235	0.8541591526	0.302961047
236	0.8568145253	0.3023201229
237	0.8576824965	0.3015962939
238	0.8594183445	0.3011291429
239	0.8594183445	0.3003139429
240	0.8603049231	0.2998384072
241	0.861193228	0.2992022646
242	0.8629109347	0.2985726886
243	0.861193228	0.2981499535
244	0.861193228	0.2975053076
245	0.8603049231	0.2969721083
246	0.8629109347	0.2962051035
247	0.8603049231	0.2955839528
248	0.8620225914	0.2952368197
249	0.8620225914	0.2945473778
250	0.8620225914	0.2940480589
251	0.8646108157	0.2934289673
252	0.8637224342	0.292684584
253	0.8637224342	0.2920799787
254	0.8637224342	0.2914504083
255	0.8646108157	0.290610773
256	0.8646108157	0.2902003203
257	0.8655009429	0.2897777679
258	0.8663928362	0.288655345
259	0.8663928362	0.2883135042
260	0.8663928362	0.2878015944
261	0.8663928362	0.2872103758
262	0.8663928362	0.2866192684
263	0.8663928362	0.2858291402
264	0.8663928362	0.2850055028
265	0.8663928362	0.2845493014
266	0.8663928362	0.2838833468
267	0.8689690655	0.2831301988
268	0.8672865161	0.2824111169
269	0.8680753488	0.2816105034
270	0.8689690655	0.2812125277
271	0.8689690655	0.2807152671
272	0.8689690655	0.2798536209
273	0.8689690655	0.2792375718
274	0.8689690655	0.2787244131
275	0.8706345429	0.2780715913
276	0.8739157196	0.2774696007
277	0.8739157196	0.276995895
278	0.8739157196	0.2764772172
279	0.8739157196	0.2759361246
280	0.874811351	0.2755115813
281	0.8764277801	0.2748411039
282	0.874811351	0.2740537965
283	0.8757088094	0.2736114481
284	0.8757088094	0.2731664518
285	0.8773252735	0.2725604954
286	0.8798254304	0.271959848
287	0.8798254304	0.2712253724
288	0.8798254304	0.2707438817
289	0.8798254304	0.2698996348
290	0.8807266749	0.2690022797
291	0.8814108877	0.2686894504
292	0.8798254304	0.2682559401
293	0.8814108877	0.2674791301
294	0.8814108877	0.2668375753
295	0.8814108877	0.2661408245
296	0.883882614	0.2652630859
297	0.885438327	0.2644836972
298	0.883882614	0.2638410444
299	0.883882614	0.2634070052
