repetition,metric,direction,model_name,value,rank,is_winner
1,quadratic_weighted_kappa,higher,logistic_regression,0.3824888892483511,5,False
1,quadratic_weighted_kappa,higher,proportional_odds_logistic,0.37770562770562777,6,False
2,quadratic_weighted_kappa,higher,random_forest,0.6313572073427625,1,True
2,quadratic_weighted_kappa,higher,xgboost,0.5949614990875507,2,False
2,quadratic_weighted_kappa,higher,lightgbm,0.5930192453611092,3,False
2,quadratic_weighted_kappa,higher,cumulative_threshold_xgboost,0.5508614624408921,4,False
2,quadratic_weighted_kappa,higher,logistic_regression,0.3951477407648022,5,False
2,quadratic_weighted_kappa,higher,proportional_odds_logistic,0.3671602910779511,6,False
3,quadratic_weighted_kappa,higher,random_forest,0.6315169533695728,1,True
3,quadratic_weighted_kappa,higher,lightgbm,0.6035075218645489,2,False
3,quadratic_weighted_kappa,higher,xgboost,0.5600530011175503,3,False
3,quadratic_weighted_kappa,higher,cumulative_threshold_xgboost,0.5399150360030835,4,False
3,quadratic_weighted_kappa,higher,proportional_odds_logistic,0.3948011228991213,5,False
3,quadratic_weighted_kappa,higher,logistic_regression,0.36642327471091296,6,False
4,quadratic_weighted_kappa,higher,random_forest,0.6306613276295172,1,True
4,quadratic_weighted_kappa,higher,lightgbm,0.6278309050551578,2,False
4,quadratic_weighted_kappa,higher,xgboost,0.6001439279144136,3,False
4,quadratic_weighted_kappa,higher,cumulative_threshold_xgboost,0.5380609759511745,4,False
4,quadratic_weighted_kappa,higher,proportional_odds_logistic,0.3870864383830658,5,False
4,quadratic_weighted_kappa,higher,logistic_regression,0.37165194729984075,6,False
5,quadratic_weighted_kappa,higher,random_forest,0.6280293067818898,1,True
5,quadratic_weighted_kappa,higher,lightgbm,0.5983802991488306,2,False
5,quadratic_weighted_kappa,higher,xgboost,0.5793362215689308,3,False
5,quadratic_weighted_kappa,higher,cumulative_threshold_xgboost,0.5567837062870127,4,False
5,quadratic_weighted_kappa,higher,logistic_regression,0.3925870831783811,5,False
5,quadratic_weighted_kappa,higher,proportional_odds_logistic,0.3676409061024445,6,False
