run_id,config_hash,dataset_key,task_type,task_comparison_group,role,policy,feature_set,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa,ordinal_mae,nll_log_loss,ece_confidence,multiclass_brier,average_precision,binary_brier,roc_auc
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,1,32,0.875,0.6666666666666666,0.6410256410256411,0.8173076923076923,0.6190476190476191,0.7678571428571428,0.6666666666666666,0.875,1.0,0.0,0.6666666666666667,0.125,0.37263331729404536,0.11415567450450945,0.20596447741840085,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,2,31,0.8709677419354839,0.6666666666666666,0.6410256410256411,0.8114143920595533,0.6190476190476191,0.76036866359447,0.6666666666666666,0.8709677419354839,1.0,0.0,0.6075949367088608,0.12903225806451613,0.6667630520544157,0.18309733762833597,0.2823246336562377,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,3,31,0.8387096774193549,0.6527777777777778,0.6339869281045751,0.7950664136622392,0.6172839506172839,0.7562724014336917,0.6527777777777778,0.8387096774193549,1.0,0.0,0.5507246376811594,0.16129032258064516,0.48640071768982174,0.1511582238406502,0.2481001614051631,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,4,31,0.8387096774193549,0.6527777777777778,0.6339869281045751,0.7950664136622392,0.6172839506172839,0.7562724014336917,0.6527777777777778,0.8387096774193549,1.0,0.0,0.5507246376811594,0.16129032258064516,0.6338249455768905,0.12074187888753374,0.27078367519556906,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,5,31,0.8064516129032258,0.611111111111111,0.6266666666666666,0.7888172043010753,0.6709401709401709,0.7841191066997518,0.611111111111111,0.8064516129032258,1.0,0.0,0.5026737967914439,0.1935483870967742,0.8174229340591351,0.17428225853893853,0.3493552020154939,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,6,31,0.8387096774193549,0.6527777777777778,0.6339869281045751,0.7950664136622392,0.6172839506172839,0.7562724014336917,0.6527777777777778,0.8387096774193549,1.0,0.0,0.5507246376811594,0.16129032258064516,0.762895254836421,0.15499249506361829,0.3300703916207929,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,7,31,0.8387096774193549,0.6527777777777778,0.6339869281045751,0.7950664136622392,0.6172839506172839,0.7562724014336917,0.6527777777777778,0.8387096774193549,1.0,0.0,0.5507246376811594,0.16129032258064516,0.3929462540430447,0.10751112665325009,0.24888089298970026,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,8,31,0.9032258064516129,0.6666666666666666,0.6477987421383647,0.8575776019476568,0.6309523809523809,0.816820276497696,0.6666666666666666,0.9032258064516129,1.0,0.0,0.6666666666666667,0.0967741935483871,0.26861988569018214,0.07139723797967333,0.14792687296944246,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,9,31,0.9032258064516129,0.6666666666666666,0.6477987421383647,0.8575776019476568,0.6309523809523809,0.816820276497696,0.6666666666666666,0.9032258064516129,1.0,0.0,0.6666666666666667,0.0967741935483871,0.48947828953936157,0.15771547374137188,0.22536049569589153,,,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,independent external performance-target replication,department_free,department_free,xgboost,10,31,0.9032258064516129,0.6666666666666666,0.6477987421383647,0.8575776019476568,0.6309523809523809,0.816820276497696,0.6666666666666666,0.9032258064516129,1.0,0.0,0.6666666666666667,0.0967741935483871,0.3976161437599814,0.12878452082121802,0.20130437892456196,,,
