run_id,config_hash,policy,role,audit_only,model,fold,n_train,n_test,n_features,excluded_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa,nll_log_loss,ece_confidence,multiclass_brier,roc_auc,average_precision,binary_brier
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,1,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,1.0,0.0,0.7053045186640472,0.41647184493528316,0.04764978438615801,0.22138461881603322,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,2,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.85,0.6202153110047847,0.5996640537513999,0.8047872340425533,0.5815789473684211,0.765,0.6202153110047847,0.85,0.15,1.0,0.0,0.6414342629482073,0.463208879644671,0.08747995222608242,0.2537366233475522,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,3,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,1.0,0.0,0.6923076923076923,0.43721344160808634,0.08252666170398394,0.23131308562666472,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,4,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.825,0.5950956937799043,0.5625668449197861,0.7776470588235295,0.5334295334295334,0.7354497354497355,0.5950956937799043,0.825,0.175,1.0,0.0,0.5874263261296659,0.5136007765941943,0.07907656778891883,0.28934209349681833,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,5,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.85,0.6239161121193789,0.5936285936285937,0.7971250971250972,0.5666666666666667,0.7508333333333332,0.6239161121193789,0.85,0.15833333333333333,0.9916666666666667,0.008333333333333333,0.5909090909090909,0.46436970205697026,0.08954241126775749,0.26559817551106196,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,6,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.85,0.6376285541439807,0.5953856295319709,0.7974027686222809,0.5584415584415584,0.750974025974026,0.6376285541439807,0.85,0.15833333333333333,0.9916666666666667,0.008333333333333333,0.6050156739811913,0.47335781007325345,0.07798627763986585,0.2701613705198453,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,7,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.8666666666666667,0.6423371647509578,0.6136025876387796,0.8171059533175977,0.5877825877825877,0.7732683982683982,0.6423371647509578,0.8666666666666667,0.13333333333333333,1.0,0.0,0.6896217264791464,0.42515365238509056,0.07407041117548942,0.23736413536745007,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,8,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.8416666666666667,0.5923371647509579,0.5881119214452548,0.7962605462605462,0.5915032679738562,0.761029411764706,0.5923371647509579,0.8416666666666667,0.15833333333333333,1.0,0.0,0.6132971506105833,0.5294965776204869,0.09992955724398295,0.2766270700183037,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,9,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,1.0,0.0,0.6114519427402864,0.5569136519414243,0.11286200582981114,0.29322617441853793,,,
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike,leakage_ablation_non_primary,True,xgboost,10,1080,120,25,EmpNumber;PerformanceRating;EmpLastSalaryHikePercent,0.85,0.6218390804597701,0.6010752688172043,0.8048387096774193,0.5828282828282828,0.7651515151515152,0.6218390804597701,0.85,0.15,1.0,0.0,0.6523978113936273,0.45567283389492147,0.06034389932950337,0.2634922806265533,,,
