run_id,config_hash,scientific_input_hash,source_tree_hash,dataset_sha256,fold_contract_sha256,feature_policy_sha256,source_oof_probability_sha256,model_set_sha256,policy,dataset_key,task_type,evidence_role,candidate_feature_scope,budget_id,budget_role,max_prototypes,max_features_changed,n_total_oof_cases,n_eligible_oof_cases,n_search_successes,heuristic_search_success_rate,search_success_ci_low,search_success_ci_high,search_success_interval_method,candidate_count_within_budget,mean_probability_gain_successful,mean_normalized_search_cost_successful,mean_changed_features_successful
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_control_tagged,restricted,sensitivity,50,2,1200,1195,19,0.015899581589958158,0.010202107606727387,0.0246994705067404,wilson_95_ci,15807,0.13920803710287769,1.4684210526315788,1.368421052631579
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_control_tagged,primary,primary,100,3,1200,1195,29,0.024267782426778243,0.016949203440258506,0.0346351477395279,wilson_95_ci,39318,0.17062684512212134,2.094827586206896,1.5517241379310345
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_control_tagged,expanded,sensitivity,250,3,1200,1195,33,0.027615062761506277,0.019730070109004124,0.03852739029730973,wilson_95_ci,56215,0.17697996465075994,2.160606060606061,1.5757575757575757
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_manager_control_tagged,restricted,sensitivity,50,2,1200,1195,270,0.22594142259414227,0.20313037604668122,0.250508806031384,wilson_95_ci,45389,0.6329663083864604,1.1164814814814816,1.1962962962962962
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_manager_control_tagged,primary,primary,100,3,1200,1195,340,0.28451882845188287,0.2596599103594656,0.3107586831828299,wilson_95_ci,148767,0.5796614646420678,1.5119117647058826,1.5205882352941176
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_manager_control_tagged,expanded,sensitivity,250,3,1200,1195,347,0.2903765690376569,0.26534369971799604,0.31675283497072254,wilson_95_ci,183857,0.5759675393726355,1.539193083573487,1.5389048991354466
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_manager_organisation_control_tagged,restricted,sensitivity,50,2,1200,1195,263,0.2200836820083682,0.19751119120163232,0.2444500497300098,wilson_95_ci,71814,0.5774860216491403,0.6899654805697055,1.273764258555133
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_manager_organisation_control_tagged,primary,primary,100,3,1200,1195,359,0.300418410041841,0.2750993167611292,0.32701654560717164,wilson_95_ci,213012,0.5485512056416266,1.0355170662271111,1.66016713091922
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,employee_manager_organisation_control_tagged,expanded,sensitivity,250,3,1200,1195,370,0.30962343096234307,0.28405493638553647,0.33641197635571485,wilson_95_ci,281139,0.5467673025731739,1.0286659482654477,1.6189189189189188
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,caffb945d15f990e3a789e9707f7a8a9115be31fecbbd705822994a10cfaf151,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,b8deac0a615b97076622ae540f4cfd0d3c3f1e7acb83ba3ff6560470a9ccf60a,3e4827545f1777be68afaaa7b5794895b53fb1ab91fab6d770388929c6735c35,e74864761270ee86516c1a227802d1862fbcb03c09a409d5179882eab10e8a86,2c45a75dcc122d9f90e41ec64b0893fc9821adb24e20f186a14c0266009bb4d9,de7072db6fdbf304a1daad73979679ae27050bba2391b00a63c1759536038c78,no_salary_hike_no_attrition_no_department,inx_primary,ordinal_multiclass_performance,supplementary_heuristic_search_only,diagnostic_including_immutable_history,restricted,sensitivity,50,2,1200,1195,205,0.17154811715481172,0.15123466969242438,0.19396648745456974,wilson_95_ci,69768,0.576055061267432,0.6388317068457487,1.4390243902439024
