min_support,attribute,class_label,metric,n_groups_included,max_gap,min,max
20,Gender,4,fpr,2,0.0,0.0,0.0
20,Gender,4,precision,2,0.0,1.0,1.0
20,Gender,4,mean_predicted_probability,2,0.010966321333623574,0.13145776262162656,0.14242408395525014
20,MaritalStatus,2,positive_prediction_rate,3,0.09714285714285713,0.09333333333333334,0.19047619047619047
20,MaritalStatus,2,tpr_equal_opportunity,3,0.19999999999999996,0.8,1.0
20,MaritalStatus,2,fpr,3,0.024096385542168676,0.0,0.024096385542168676
20,MaritalStatus,2,precision,3,0.11111111111111116,0.8888888888888888,1.0
20,MaritalStatus,2,mean_predicted_probability,3,0.06541698377139954,0.1499192707483077,0.21533625451970723
20,MaritalStatus,3,positive_prediction_rate,3,0.06428571428571428,0.7523809523809524,0.8166666666666667
20,MaritalStatus,3,tpr_equal_opportunity,3,0.025974025974025983,0.974025974025974,1.0
20,MaritalStatus,3,fpr,3,0.12380952380952381,0.14285714285714285,0.26666666666666666
20,MaritalStatus,3,precision,3,0.03099974166881936,0.9183673469387755,0.9493670886075949
20,MaritalStatus,3,mean_predicted_probability,3,0.03728128111073692,0.6597441940264162,0.6970254751371531
20,MaritalStatus,4,positive_prediction_rate,3,0.11333333333333334,0.03333333333333333,0.14666666666666667
20,MaritalStatus,4,tpr_equal_opportunity,3,0.6,0.4,1.0
20,MaritalStatus,4,fpr,3,0.0,0.0,0.0
20,MaritalStatus,4,precision,3,0.0,1.0,1.0
20,MaritalStatus,4,mean_predicted_probability,3,0.05534121520239764,0.1135961913657879,0.16893740656818554
30,BusinessTravelFrequency,2,positive_prediction_rate,2,0.007575757575757569,0.1590909090909091,0.16666666666666666
30,BusinessTravelFrequency,2,tpr_equal_opportunity,2,0.16666666666666663,0.8333333333333334,1.0
30,BusinessTravelFrequency,2,fpr,2,0.02054794520547945,0.0,0.02054794520547945
30,BusinessTravelFrequency,2,precision,2,0.1071428571428571,0.8928571428571429,1.0
30,BusinessTravelFrequency,2,mean_predicted_probability,2,0.004640645580560071,0.19312280787348735,0.19776345345404742
30,BusinessTravelFrequency,3,positive_prediction_rate,2,0.022095959595959558,0.7556818181818182,0.7777777777777778
30,BusinessTravelFrequency,3,tpr_equal_opportunity,2,0.015748031496062964,0.984251968503937,1.0
30,BusinessTravelFrequency,3,fpr,2,0.10946196660482374,0.16326530612244897,0.2727272727272727
30,BusinessTravelFrequency,3,precision,2,0.046992481203007475,0.8928571428571429,0.9398496240601504
30,BusinessTravelFrequency,3,mean_predicted_probability,2,0.022291651814273394,0.6636480801263042,0.6859397319405776
30,BusinessTravelFrequency,4,positive_prediction_rate,2,0.02967171717171717,0.05555555555555555,0.08522727272727272
30,BusinessTravelFrequency,4,tpr_equal_opportunity,2,0.3894736842105263,0.4,0.7894736842105263
30,BusinessTravelFrequency,4,fpr,2,0.0,0.0,0.0
30,BusinessTravelFrequency,4,precision,2,0.0,1.0,1.0
