run_id,config_hash,policy,fold,n_train,n_test,n_features,proxy_target_absent_from_predictors,proxy_target_removed_by_proxy_safeguard,proxy_target_removal_method,accuracy,balanced_accuracy,macro_f1
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,1,1080,120,19,True,False,already_excluded_by_performance_policy,0.36666666666666664,0.5166179337231969,0.31385653899240856
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,2,1080,120,19,True,False,already_excluded_by_performance_policy,0.35,0.3078976034858388,0.2778272365842987
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,3,1080,120,19,True,False,already_excluded_by_performance_policy,0.2916666666666667,0.3245872033023736,0.28041264778106884
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,4,1080,120,19,True,False,already_excluded_by_performance_policy,0.25833333333333336,0.32100335629747395,0.23170250801829748
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,5,1080,120,19,True,False,already_excluded_by_performance_policy,0.275,0.2050786080197845,0.2142177909415132
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,6,1080,120,19,True,False,already_excluded_by_performance_policy,0.30833333333333335,0.2411897191308956,0.25886026541764245
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,7,1080,120,19,True,False,already_excluded_by_performance_policy,0.2916666666666667,0.25401136430548193,0.24434243917002538
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,8,1080,120,19,True,False,already_excluded_by_performance_policy,0.26666666666666666,0.31144674085850554,0.21773910888221656
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,9,1080,120,19,True,False,already_excluded_by_performance_policy,0.3,0.33001573001573,0.24926404158024199
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department_no_job_role,10,1080,120,19,True,False,already_excluded_by_performance_policy,0.275,0.267017017017017,0.25199982064388843
