run_id,config_hash,policy,attribute,group_value,interpretation_category,n_samples,minimum_group_support_threshold,group_support_eligible,metric,class_label,metric_value,metric_denominator,minimum_metric_denominator_threshold,metric_denominator_eligible,eligible_for_gap
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,false_positive_rate,2.0,0.01639344262295082,427,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,precision,2.0,0.9078947368421053,76,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,mean_predicted_probability,2.0,0.14839102846872626,506,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,positive_prediction_rate,3.0,0.8478260869565217,506,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,true_positive_rate,3.0,0.9784366576819407,371,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,false_positive_rate,3.0,0.4888888888888889,135,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,precision,3.0,0.8461538461538461,429,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,mean_predicted_probability,3.0,0.759996445365471,506,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,positive_prediction_rate,4.0,0.001976284584980237,506,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,true_positive_rate,4.0,0.0,56,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,false_positive_rate,4.0,0.0022222222222222222,450,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,precision,4.0,0.0,1,10,False,False
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,30-39,protected_or_sensitive_descriptive_audit,506,30,True,mean_predicted_probability,4.0,0.09161252656508892,506,30,True,True
