run_id,config_hash,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,raw,4,4,0.30000000000000004,0.4,39,0.3420194276165894,0.15384615384615385,0.18817327377043552
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,raw,4,5,0.4,0.5,12,0.434635748116903,0.16666666666666666,0.26796908145023635
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,raw,4,6,0.5,0.6000000000000001,8,0.5444646236848032,0.25,0.2944646236848032
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,raw,4,7,0.6000000000000001,0.7000000000000001,2,0.610565665164589,1.0,0.389434334835411
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,raw,4,8,0.7000000000000001,0.8,1,0.7496051876031935,0.0,0.7496051876031935
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,1,0.0,0.1,937,0.009367686887694356,0.0096051227321238,0.00023743584442944415
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,2,0.1,0.2,25,0.13484653924596265,0.04,0.09484653924596265
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,3,0.2,0.30000000000000004,16,0.2429267655092283,0.25,0.007073234490771713
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,4,0.30000000000000004,0.4,12,0.3469353972586133,0.16666666666666666,0.18026873059194662
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,5,0.4,0.5,11,0.4539127334747748,0.6363636363636364,0.18245090288886157
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,6,0.5,0.6000000000000001,18,0.5531538166703867,0.7777777777777778,0.22462396110739113
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,7,0.6000000000000001,0.7000000000000001,37,0.6569410597409608,0.8378378378378378,0.180896778096877
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,8,0.7000000000000001,0.8,82,0.7542942760671425,0.8658536585365854,0.11155938246944286
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,9,0.8,0.9,60,0.8436330916359054,0.9,0.05636690836409464
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,2,10,0.9,1.0,2,0.9068240782643393,0.5,0.4068240782643393
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,1,0.0,0.1,19,0.08355601945890843,0.15789473684210525,0.07433871738319682
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,2,0.1,0.2,89,0.14941188287558474,0.10112359550561797,0.048288287369966765
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,3,0.2,0.30000000000000004,61,0.23817668750352217,0.16393442622950818,0.07424226127401398
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,4,0.30000000000000004,0.4,25,0.3452485066315588,0.08,0.2652485066315588
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,5,0.4,0.5,13,0.4435776482406294,0.38461538461538464,0.05896226362524476
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,6,0.5,0.6000000000000001,13,0.5449420660453705,0.6923076923076923,0.14736562626232175
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,7,0.6000000000000001,0.7000000000000001,30,0.6514515508911664,0.7666666666666667,0.11521511577550037
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,8,0.7000000000000001,0.8,133,0.7631211750280472,0.8421052631578947,0.07898408812984747
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,9,0.8,0.9,568,0.8613272964520086,0.8450704225352113,0.01625687391679731
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,3,10,0.9,1.0,249,0.9187569715759444,0.8875502008032129,0.031206770772731485
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,4,1,0.0,0.1,559,0.06787007135580429,0.06618962432915922,0.0016804470266450766
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,4,2,0.1,0.2,543,0.13551059229144996,0.13443830570902393,0.0010722865824260297
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,4,3,0.2,0.30000000000000004,85,0.23688564843788634,0.21176470588235294,0.025120942555533404
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,4,4,0.30000000000000004,0.4,12,0.34737763588487,0.3333333333333333,0.014044302551536658
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,sigmoid,4,5,0.4,0.5,1,0.49641342146142853,0.0,0.49641342146142853
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,1,0.0,0.1,927,0.002473118314618291,0.006472491909385114,0.003999373594766823
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,2,0.1,0.2,46,0.1279066900590241,0.15217391304347827,0.024267222984454162
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,3,0.2,0.30000000000000004,7,0.2512534938207515,0.0,0.2512534938207515
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,4,0.30000000000000004,0.4,4,0.36630661919667,0.5,0.13369338080333
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,5,0.4,0.5,12,0.457688646416063,0.4166666666666667,0.04102197974939631
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,6,0.5,0.6000000000000001,16,0.5503207498039675,0.75,0.1996792501960325
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,7,0.6000000000000001,0.7000000000000001,7,0.6597615522606272,1.0,0.34023844773937284
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,8,0.7000000000000001,0.8,36,0.7558471805874486,0.8333333333333334,0.07748615274588477
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,9,0.8,0.9,75,0.8352845627092642,0.88,0.04471543729073579
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,2,10,0.9,1.0,70,0.9579304751493589,0.8428571428571429,0.11507333229221606
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,1,0.0,0.1,100,0.04314186550481449,0.14,0.09685813449518552
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,2,0.1,0.2,73,0.16431351517822498,0.1506849315068493,0.013628583671375677
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,3,0.2,0.30000000000000004,18,0.2512044913675108,0.16666666666666666,0.08453782470084412
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,4,0.30000000000000004,0.4,10,0.3565521953981067,0.2,0.15655219539810666
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,5,0.4,0.5,15,0.4489343416717891,0.26666666666666666,0.18226767500512242
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,6,0.5,0.6000000000000001,12,0.5516560389298047,0.5833333333333334,0.03167729440352862
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,7,0.6000000000000001,0.7000000000000001,17,0.6560151920636299,0.8823529411764706,0.22633774911284066
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,isotonic,3,8,0.7000000000000001,0.8,106,0.7528020239583987,0.8301886792452831,0.07738665528688438
