run_id,config_hash,dataset_key,task_type,role,policy,n_features,feature_columns,excluded_id_columns,excluded_leakage_columns,excluded_sensitive_columns,forbidden_feature_count
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,independent external performance-target replication,department_including,18,MarriedID;EmpStatusID;DeptID;FromDiversityJobFairID;Salary;PositionID;EmpJobRole;State;Zip;DateOfHire;EmpDepartment;RecruitmentSource;EngagementSurvey;EmpJobSatisfaction;SpecialProjectsCount;DaysLateLast30;Absences;ExperienceYearsAtThisCompany,EmpNumber;Employee_Name;ExternalSampleId,DateofTermination;EmploymentStatus;LastPerformanceReview_Date;ManagerID;ManagerName;PerfScoreID;PerformanceRating;PerformanceScore;TermReason;Termd,CitizenDesc;DOB;Gender;GenderID;HispanicLatino;MaritalStatus;MaritalStatusID;RaceEthnicity,0
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,independent external performance-target replication,department_free,17,MarriedID;EmpStatusID;DeptID;FromDiversityJobFairID;Salary;PositionID;EmpJobRole;State;Zip;DateOfHire;RecruitmentSource;EngagementSurvey;EmpJobSatisfaction;SpecialProjectsCount;DaysLateLast30;Absences;ExperienceYearsAtThisCompany,EmpNumber;Employee_Name;ExternalSampleId,DateofTermination;EmploymentStatus;LastPerformanceReview_Date;ManagerID;ManagerName;PerfScoreID;PerformanceRating;PerformanceScore;TermReason;Termd,CitizenDesc;DOB;Gender;GenderID;HispanicLatino;MaritalStatus;MaritalStatusID;RaceEthnicity,0
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,independent external performance-target replication,department_job_role_free,16,MarriedID;EmpStatusID;DeptID;FromDiversityJobFairID;Salary;PositionID;State;Zip;DateOfHire;RecruitmentSource;EngagementSurvey;EmpJobSatisfaction;SpecialProjectsCount;DaysLateLast30;Absences;ExperienceYearsAtThisCompany,EmpNumber;Employee_Name;ExternalSampleId,DateofTermination;EmploymentStatus;LastPerformanceReview_Date;ManagerID;ManagerName;PerfScoreID;PerformanceRating;PerformanceScore;TermReason;Termd,CitizenDesc;DOB;Gender;GenderID;HispanicLatino;MaritalStatus;MaritalStatusID;RaceEthnicity,0
