feature_set,model,fold,n_features,removed_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition,catboost,1,22,"EmpLastSalaryHikePercent, Attrition",0.825,0.6088516746411483,0.5653367653367654,0.7782646932646933,0.5281637531749589,0.7369602569849096,0.6088516746411483,0.825,0.175,0.6015180265654649,1.0,0.0,0.4792264670313367,0.2820219261288611,0.01476718945338947
no_salary_hike_no_attrition,lightgbm,1,22,"EmpLastSalaryHikePercent, Attrition",0.85,0.6064593301435407,0.5900426742532007,0.800796586059744,0.5773420479302832,0.759041394335512,0.6064593301435407,0.85,0.15,0.6265560165975104,1.0,0.0,0.6572878850606908,0.2671761568068775,0.12380277833454335
no_salary_hike_no_attrition,xgboost,1,22,"EmpLastSalaryHikePercent, Attrition",0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,1.0,0.0,0.41865001769787946,0.22060848609362582,0.061623708903789515
no_salary_hike_no_attrition,catboost,2,22,"EmpLastSalaryHikePercent, Attrition",0.8,0.583732057416268,0.537917087967644,0.7555106167846309,0.5,0.7166666666666668,0.583732057416268,0.8,0.2,0.5522388059701493,1.0,0.0,0.5658722189008193,0.3313854962046719,0.050029000232140894
no_salary_hike_no_attrition,lightgbm,2,22,"EmpLastSalaryHikePercent, Attrition",0.8333333333333334,0.6126395534290271,0.5808243727598567,0.7890636200716846,0.5521541950113379,0.7492630385487529,0.6126395534290271,0.8333333333333334,0.16666666666666666,0.6153846153846154,1.0,0.0,0.8317352553011751,0.30821563275068864,0.13542915297833064
no_salary_hike_no_attrition,xgboost,2,22,"EmpLastSalaryHikePercent, Attrition",0.8666666666666667,0.6277910685805422,0.6115694642010432,0.8170744428639165,0.5991285403050108,0.7750272331154684,0.6277910685805422,0.8666666666666667,0.13333333333333333,0.6680497925311204,1.0,0.0,0.4606495593280851,0.25278350611370176,0.0970871085921923
no_salary_hike_no_attrition,catboost,3,22,"EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.6012759170653907,0.5490147375393276,0.7635142407683392,0.5073684210526316,0.7252105263157895,0.6012759170653907,0.8083333333333333,0.19166666666666668,0.5779816513761467,1.0,0.0,0.5190140363952859,0.3037522593431431,0.05026811347740576
no_salary_hike_no_attrition,lightgbm,3,22,"EmpLastSalaryHikePercent, Attrition",0.8416666666666667,0.6245245982088087,0.6246114394721206,0.8066013071895425,0.7301967038809144,0.8097222222222222,0.6245245982088087,0.8416666666666667,0.15833333333333333,0.6296296296296295,1.0,0.0,0.6600675555693802,0.2696591568166602,0.1199755727487464
no_salary_hike_no_attrition,xgboost,3,22,"EmpLastSalaryHikePercent, Attrition",0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,1.0,0.0,0.44031245916164075,0.23221329006311098,0.07899568577607471
no_salary_hike_no_attrition,catboost,4,22,"EmpLastSalaryHikePercent, Attrition",0.7833333333333333,0.5761562998405103,0.5227513227513227,0.7411640211640211,0.4817239498090562,0.7059465357337698,0.5761562998405103,0.7833333333333333,0.21666666666666667,0.5306859205776173,1.0,0.0,0.5060985297854629,0.3011326384589357,0.05225011274977112
